id_subsistema,nom_subsistema,din_instante,val_cargaenergiamwmed
N,NORTE,2003-01-01,2494.19166667
NE,NORDESTE,2003-01-01,5033.28791667
S,SUL,2003-01-01,5103.96249924
SE,SUDESTE,2003-01-01,20412.97125076
N,NORTE,2003-01-02,2615.81666667
NE,NORDESTE,2003-01-02,5904.21666667
S,SUL,2003-01-02,6481.32625122
SE,SUDESTE,2003-01-02,24918.78708211
N,NORTE,2003-01-03,2643.23333333
NE,NORDESTE,2003-01-03,6134.97666667
S,SUL,2003-01-03,6654.49708455
SE,SUDESTE,2003-01-03,25711.48916545
N,NORTE,2003-01-04,2594.47916667
NE,NORDESTE,2003-01-04,5905.89750000
S,SUL,2003-01-04,6193.48791987
SE,SUDESTE,2003-01-04,24021.38291346
N,NORTE,2003-01-05,2534.96666667
NE,NORDESTE,2003-01-05,5511.99375000
S,SUL,2003-01-05,5526.51541723
SE,SUDESTE,2003-01-05,22206.91791611
N,NORTE,2003-01-06,2690.54166667
NE,NORDESTE,2003-01-06,6186.93833333
S,SUL,2003-01-06,7111.77708511
SE,SUDESTE,2003-01-06,26189.95458155
N,NORTE,2003-01-07,2724.02500000
NE,NORDESTE,2003-01-07,6445.45875000
S,SUL,2003-01-07,7389.25250371
SE,SUDESTE,2003-01-07,26339.08957962
N,NORTE,2003-01-08,2703.23333333
NE,NORDESTE,2003-01-08,6554.58666667
S,SUL,2003-01-08,7466.80208003
SE,SUDESTE,2003-01-08,26540.31791997
N,NORTE,2003-01-09,2716.82083333
NE,NORDESTE,2003-01-09,6537.29833333
S,SUL,2003-01-09,7723.90833537
SE,SUDESTE,2003-01-09,27230.79041463
N,NORTE,2003-01-10,2719.70416667
NE,NORDESTE,2003-01-10,6481.08125000
S,SUL,2003-01-10,7549.90083720
SE,SUDESTE,2003-01-10,28136.15499613
N,NORTE,2003-01-11,2639.65000000
NE,NORDESTE,2003-01-11,6151.05833333
S,SUL,2003-01-11,6413.23458481
SE,SUDESTE,2003-01-11,24834.72749852
N,NORTE,2003-01-12,2502.08750000
NE,NORDESTE,2003-01-12,5679.93416667
S,SUL,2003-01-12,5506.61249924
SE,SUDESTE,2003-01-12,22590.35250076
N,NORTE,2003-01-13,2702.80833333
NE,NORDESTE,2003-01-13,6365.85791667
S,SUL,2003-01-13,7144.95875193
SE,SUDESTE,2003-01-13,26197.84416473
N,NORTE,2003-01-14,2671.03750000
NE,NORDESTE,2003-01-14,6524.17125000
S,SUL,2003-01-14,7496.89083277
SE,SUDESTE,2003-01-14,26458.69250056
N,NORTE,2003-01-15,2687.42083333
NE,NORDESTE,2003-01-15,6468.83208333
S,SUL,2003-01-15,7659.21291758
SE,SUDESTE,2003-01-15,26649.85333242
N,NORTE,2003-01-16,2673.36666667
NE,NORDESTE,2003-01-16,6431.01250000
S,SUL,2003-01-16,7734.92833354
SE,SUDESTE,2003-01-16,26865.62291646
N,NORTE,2003-01-17,2638.32916667
NE,NORDESTE,2003-01-17,6572.03541667
S,SUL,2003-01-17,7801.94875310
SE,SUDESTE,2003-01-17,27070.96041356
N,NORTE,2003-01-18,2554.63750000
NE,NORDESTE,2003-01-18,6173.64250000
S,SUL,2003-01-18,6837.76541875
SE,SUDESTE,2003-01-18,24810.54208125
N,NORTE,2003-01-19,2313.33750000
NE,NORDESTE,2003-01-19,5731.12875000
S,SUL,2003-01-19,5787.65291875
SE,SUDESTE,2003-01-19,22415.29624791
N,NORTE,2003-01-20,2562.65833333
NE,NORDESTE,2003-01-20,6204.78541667
S,SUL,2003-01-20,7475.93791911
SE,SUDESTE,2003-01-20,26314.03624756
N,NORTE,2003-01-21,2586.73333333
NE,NORDESTE,2003-01-21,6365.54375000
S,SUL,2003-01-21,7692.57458165
SE,SUDESTE,2003-01-21,27660.61875168
N,NORTE,2003-01-22,2591.90416667
NE,NORDESTE,2003-01-22,6358.77166667
S,SUL,2003-01-22,7750.55999959
SE,SUDESTE,2003-01-22,27492.07666707
N,NORTE,2003-01-23,2604.78333333
NE,NORDESTE,2003-01-23,6248.20875000
S,SUL,2003-01-23,7686.03458328
SE,SUDESTE,2003-01-23,27802.00750005
N,NORTE,2003-01-24,2599.63333333
NE,NORDESTE,2003-01-24,6202.61291667
S,SUL,2003-01-24,7448.17875112
SE,SUDESTE,2003-01-24,27753.94541555
N,NORTE,2003-01-25,2564.13750000
NE,NORDESTE,2003-01-25,5945.80583333
S,SUL,2003-01-25,6496.97625224
SE,SUDESTE,2003-01-25,24560.63624776
N,NORTE,2003-01-26,2480.56250000
NE,NORDESTE,2003-01-26,5546.19375000
S,SUL,2003-01-26,5553.25541458
SE,SUDESTE,2003-01-26,21895.70416875
N,NORTE,2003-01-27,2633.02916667
NE,NORDESTE,2003-01-27,6154.31875000
S,SUL,2003-01-27,7282.19041697
SE,SUDESTE,2003-01-27,26143.02624969
N,NORTE,2003-01-28,2612.42083333
NE,NORDESTE,2003-01-28,6297.58625000
S,SUL,2003-01-28,7571.91749954
SE,SUDESTE,2003-01-28,26928.51875046
N,NORTE,2003-01-29,2627.52083333
NE,NORDESTE,2003-01-29,6256.69708333
S,SUL,2003-01-29,7638.89916662
SE,SUDESTE,2003-01-29,26777.32416672
N,NORTE,2003-01-30,2646.08333333
NE,NORDESTE,2003-01-30,6190.87416667
S,SUL,2003-01-30,7795.67082901
SE,SUDESTE,2003-01-30,26750.27667099
N,NORTE,2003-01-31,2620.02916667
NE,NORDESTE,2003-01-31,6158.59625000
S,SUL,2003-01-31,7952.05999959
SE,SUDESTE,2003-01-31,26826.13583374
N,NORTE,2003-02-01,2562.52916667
NE,NORDESTE,2003-02-01,5786.52875000
S,SUL,2003-02-01,6970.42666524
SE,SUDESTE,2003-02-01,24777.69416809
N,NORTE,2003-02-02,2478.90833333
NE,NORDESTE,2003-02-02,5353.75833333
S,SUL,2003-02-02,5802.92208252
SE,SUDESTE,2003-02-02,22721.73791748
N,NORTE,2003-02-03,2641.72916667
NE,NORDESTE,2003-02-03,6007.22166667
S,SUL,2003-02-03,7824.27249985
SE,SUDESTE,2003-02-03,27499.91791682
N,NORTE,2003-02-04,2693.70000000
NE,NORDESTE,2003-02-04,6169.59125000
S,SUL,2003-02-04,8196.84291458
SE,SUDESTE,2003-02-04,28338.54041875
N,NORTE,2003-02-05,2693.77083333
NE,NORDESTE,2003-02-05,6163.17583333
S,SUL,2003-02-05,8095.58249995
SE,SUDESTE,2003-02-05,28563.34750005
N,NORTE,2003-02-06,2673.35416667
NE,NORDESTE,2003-02-06,6227.70583333
S,SUL,2003-02-06,8087.31041514
SE,SUDESTE,2003-02-06,28669.27875153
N,NORTE,2003-02-07,2687.31666667
NE,NORDESTE,2003-02-07,6268.47291667
S,SUL,2003-02-07,8032.03666738
SE,SUDESTE,2003-02-07,28744.55916595
N,NORTE,2003-02-08,2564.96666667
NE,NORDESTE,2003-02-08,5872.18791667
S,SUL,2003-02-08,6838.03416595
SE,SUDESTE,2003-02-08,26366.89166738
N,NORTE,2003-02-09,2497.56666667
NE,NORDESTE,2003-02-09,5423.74416667
S,SUL,2003-02-09,5776.20791677
SE,SUDESTE,2003-02-09,23877.06833323
N,NORTE,2003-02-10,2643.70416667
NE,NORDESTE,2003-02-10,6160.89000000
S,SUL,2003-02-10,7498.64749858
SE,SUDESTE,2003-02-10,28436.15750142
N,NORTE,2003-02-11,2740.03750000
NE,NORDESTE,2003-02-11,6292.65375000
S,SUL,2003-02-11,7658.13999532
SE,SUDESTE,2003-02-11,29060.70250468
N,NORTE,2003-02-12,2699.95000000
NE,NORDESTE,2003-02-12,6154.48708333
S,SUL,2003-02-12,7700.56041616
SE,SUDESTE,2003-02-12,29238.03375051
N,NORTE,2003-02-13,2686.64166667
NE,NORDESTE,2003-02-13,6037.75125000
S,SUL,2003-02-13,7659.81166814
SE,SUDESTE,2003-02-13,29002.39083186
N,NORTE,2003-02-14,2685.02083333
NE,NORDESTE,2003-02-14,6017.55583333
S,SUL,2003-02-14,7539.19624761
SE,SUDESTE,2003-02-14,28645.20333572
N,NORTE,2003-02-15,2626.89166667
NE,NORDESTE,2003-02-15,5703.93166667
S,SUL,2003-02-15,6696.85916850
SE,SUDESTE,2003-02-15,25704.18291484
N,NORTE,2003-02-16,2480.37500000
NE,NORDESTE,2003-02-16,5387.33833333
S,SUL,2003-02-16,5697.15624802
SE,SUDESTE,2003-02-16,23008.16666865
N,NORTE,2003-02-17,2686.67916667
NE,NORDESTE,2003-02-17,6123.66916667
S,SUL,2003-02-17,7307.87916540
SE,SUDESTE,2003-02-17,27771.88208460
N,NORTE,2003-02-18,2719.87083333
NE,NORDESTE,2003-02-18,6312.23750000
S,SUL,2003-02-18,7569.31916529
SE,SUDESTE,2003-02-18,27977.27958471
N,NORTE,2003-02-19,2722.72916667
NE,NORDESTE,2003-02-19,6264.00416667
S,SUL,2003-02-19,7679.38999863
SE,SUDESTE,2003-02-19,28498.13208471
N,NORTE,2003-02-20,2747.31250000
NE,NORDESTE,2003-02-20,6193.19625000
S,SUL,2003-02-20,7669.84333547
SE,SUDESTE,2003-02-20,28596.92791453
N,NORTE,2003-02-21,2785.88333333
NE,NORDESTE,2003-02-21,6036.26291667
S,SUL,2003-02-21,7553.98374990
SE,SUDESTE,2003-02-21,28911.18708344
N,NORTE,2003-02-22,2804.39583333
NE,NORDESTE,2003-02-22,5768.64458333
S,SUL,2003-02-22,6485.22541656
SE,SUDESTE,2003-02-22,26284.12125010
N,NORTE,2003-02-23,2575.94583333
NE,NORDESTE,2003-02-23,5274.29916667
S,SUL,2003-02-23,5620.46666896
SE,SUDESTE,2003-02-23,23596.76374771
N,NORTE,2003-02-24,2773.95833333
NE,NORDESTE,2003-02-24,5785.51875000
S,SUL,2003-02-24,7596.80500081
SE,SUDESTE,2003-02-24,28238.56916585
N,NORTE,2003-02-25,2802.11666667
NE,NORDESTE,2003-02-25,5863.48000000
S,SUL,2003-02-25,7970.61375249
SE,SUDESTE,2003-02-25,29205.25999751
N,NORTE,2003-02-26,2804.11250000
NE,NORDESTE,2003-02-26,6032.98708333
S,SUL,2003-02-26,8144.48457972
SE,SUDESTE,2003-02-26,29449.47375361
N,NORTE,2003-02-27,2817.80000000
NE,NORDESTE,2003-02-27,6103.19041667
S,SUL,2003-02-27,8172.30666656
SE,SUDESTE,2003-02-27,29627.18875010
N,NORTE,2003-02-28,2812.91666667
NE,NORDESTE,2003-02-28,6056.22500000
S,SUL,2003-02-28,8260.95499980
SE,SUDESTE,2003-02-28,29402.84083354
N,NORTE,2003-03-01,2705.22916667
NE,NORDESTE,2003-03-01,5749.33083333
S,SUL,2003-03-01,6849.97333883
SE,SUDESTE,2003-03-01,26205.23124451
N,NORTE,2003-03-02,2602.70833333
NE,NORDESTE,2003-03-02,5316.52000000
S,SUL,2003-03-02,5742.28417053
SE,SUDESTE,2003-03-02,23425.07207947
N,NORTE,2003-03-03,2664.97083333
NE,NORDESTE,2003-03-03,5301.83166667
S,SUL,2003-03-03,6695.90874990
SE,SUDESTE,2003-03-03,24635.29166677
N,NORTE,2003-03-04,2617.84166667
NE,NORDESTE,2003-03-04,5303.44083333
S,SUL,2003-03-04,6675.73624751
SE,SUDESTE,2003-03-04,24137.49000249
N,NORTE,2003-03-05,2707.00833333
NE,NORDESTE,2003-03-05,5679.88000000
S,SUL,2003-03-05,7655.77541428
SE,SUDESTE,2003-03-05,27068.42166906
N,NORTE,2003-03-06,2773.34583333
NE,NORDESTE,2003-03-06,6132.46041667
S,SUL,2003-03-06,8016.95291672
SE,SUDESTE,2003-03-06,28540.09249995
N,NORTE,2003-03-07,2800.99166667
NE,NORDESTE,2003-03-07,6190.49333333
S,SUL,2003-03-07,7919.95916977
SE,SUDESTE,2003-03-07,28761.63541356
N,NORTE,2003-03-08,2710.10000000
NE,NORDESTE,2003-03-08,5962.64708333
S,SUL,2003-03-08,6867.12375005
SE,SUDESTE,2003-03-08,26272.70583328
N,NORTE,2003-03-09,2624.15000000
NE,NORDESTE,2003-03-09,5475.63708333
S,SUL,2003-03-09,5844.42541453
SE,SUDESTE,2003-03-09,22961.84583547
N,NORTE,2003-03-10,2806.26666667
NE,NORDESTE,2003-03-10,6163.63708333
S,SUL,2003-03-10,7631.11124573
SE,SUDESTE,2003-03-10,27354.92292094
N,NORTE,2003-03-11,2799.42083333
NE,NORDESTE,2003-03-11,6254.03416667
S,SUL,2003-03-11,7853.06541417
SE,SUDESTE,2003-03-11,28211.53666916
N,NORTE,2003-03-12,2762.39583333
NE,NORDESTE,2003-03-12,6205.55458333
S,SUL,2003-03-12,7729.34166565
SE,SUDESTE,2003-03-12,28573.24750102
N,NORTE,2003-03-13,2740.76666667
NE,NORDESTE,2003-03-13,6303.64416667
S,SUL,2003-03-13,7614.44791361
SE,SUDESTE,2003-03-13,28604.11750305
N,NORTE,2003-03-14,2745.17500000
NE,NORDESTE,2003-03-14,6307.97375000
S,SUL,2003-03-14,7662.84458084
SE,SUDESTE,2003-03-14,28444.52416916
N,NORTE,2003-03-15,2577.20416667
NE,NORDESTE,2003-03-15,5868.61666667
S,SUL,2003-03-15,6788.20249990
SE,SUDESTE,2003-03-15,26267.81500010
N,NORTE,2003-03-16,2451.90000000
NE,NORDESTE,2003-03-16,5346.79083333
S,SUL,2003-03-16,5600.33625081
SE,SUDESTE,2003-03-16,23731.98416585
N,NORTE,2003-03-17,2739.44583333
NE,NORDESTE,2003-03-17,5900.87333333
S,SUL,2003-03-17,7179.26499812
SE,SUDESTE,2003-03-17,27505.71416855
N,NORTE,2003-03-18,2764.52083333
NE,NORDESTE,2003-03-18,6024.75500000
S,SUL,2003-03-18,7551.97166621
SE,SUDESTE,2003-03-18,27091.88166712
N,NORTE,2003-03-19,2729.89583333
NE,NORDESTE,2003-03-19,5767.69125000
S,SUL,2003-03-19,7756.11708399
SE,SUDESTE,2003-03-19,27456.66041601
N,NORTE,2003-03-20,2753.65000000
NE,NORDESTE,2003-03-20,5943.63375000
S,SUL,2003-03-20,7872.49458516
SE,SUDESTE,2003-03-20,27961.80499817
N,NORTE,2003-03-21,2821.32500000
NE,NORDESTE,2003-03-21,5914.11000000
S,SUL,2003-03-21,7352.60833791
SE,SUDESTE,2003-03-21,28154.13707876
N,NORTE,2003-03-22,2685.74166667
NE,NORDESTE,2003-03-22,5675.47416667
S,SUL,2003-03-22,6360.08124593
SE,SUDESTE,2003-03-22,24985.57042074
N,NORTE,2003-03-23,2562.35000000
NE,NORDESTE,2003-03-23,5251.69166667
S,SUL,2003-03-23,5435.91583481
SE,SUDESTE,2003-03-23,21931.86583186
N,NORTE,2003-03-24,2778.89166667
NE,NORDESTE,2003-03-24,5773.99708333
S,SUL,2003-03-24,7101.84249980
SE,SUDESTE,2003-03-24,26447.11041687
N,NORTE,2003-03-25,2790.76666667
NE,NORDESTE,2003-03-25,6018.34375000
S,SUL,2003-03-25,7431.38458532
SE,SUDESTE,2003-03-25,27186.11541468
N,NORTE,2003-03-26,2760.46250000
NE,NORDESTE,2003-03-26,5997.96791667
S,SUL,2003-03-26,7485.72125066
SE,SUDESTE,2003-03-26,27184.63916601
N,NORTE,2003-03-27,2781.26666667
NE,NORDESTE,2003-03-27,6034.29458333
S,SUL,2003-03-27,7552.31833445
SE,SUDESTE,2003-03-27,27217.69874888
N,NORTE,2003-03-28,2772.16666667
NE,NORDESTE,2003-03-28,6073.39500000
S,SUL,2003-03-28,7533.41083425
SE,SUDESTE,2003-03-28,27202.60416575
N,NORTE,2003-03-29,2686.21666667
NE,NORDESTE,2003-03-29,5694.98250000
S,SUL,2003-03-29,6654.96958211
SE,SUDESTE,2003-03-29,24792.06583455
N,NORTE,2003-03-30,2596.19583333
NE,NORDESTE,2003-03-30,5232.91916667
S,SUL,2003-03-30,5676.70458221
SE,SUDESTE,2003-03-30,22440.11375112
N,NORTE,2003-03-31,2782.63333333
NE,NORDESTE,2003-03-31,5966.86541667
S,SUL,2003-03-31,7400.97624817
SE,SUDESTE,2003-03-31,27331.76375183
N,NORTE,2003-04-01,2791.29583333
NE,NORDESTE,2003-04-01,6080.35833333
S,SUL,2003-04-01,7525.73374964
SE,SUDESTE,2003-04-01,28040.87633369
N,NORTE,2003-04-02,2762.09583333
NE,NORDESTE,2003-04-02,6143.98375000
S,SUL,2003-04-02,7506.67874934
SE,SUDESTE,2003-04-02,27968.19920899
N,NORTE,2003-04-03,2772.64583333
NE,NORDESTE,2003-04-03,6148.47000000
S,SUL,2003-04-03,7414.64500148
SE,SUDESTE,2003-04-03,28175.96916519
N,NORTE,2003-04-04,2747.82083333
NE,NORDESTE,2003-04-04,6200.25541667
S,SUL,2003-04-04,7322.97666677
SE,SUDESTE,2003-04-04,27951.52791656
N,NORTE,2003-04-05,2693.25833333
NE,NORDESTE,2003-04-05,5859.57958333
S,SUL,2003-04-05,6369.25041656
SE,SUDESTE,2003-04-05,25398.34375010
N,NORTE,2003-04-06,2627.90000000
NE,NORDESTE,2003-04-06,5468.90416667
S,SUL,2003-04-06,5327.80666517
SE,SUDESTE,2003-04-06,23018.44333483
N,NORTE,2003-04-07,2795.50833333
NE,NORDESTE,2003-04-07,6126.45458333
S,SUL,2003-04-07,6932.45416768
SE,SUDESTE,2003-04-07,26413.96624898
N,NORTE,2003-04-08,2821.76250000
NE,NORDESTE,2003-04-08,6234.96625000
S,SUL,2003-04-08,7265.50666529
SE,SUDESTE,2003-04-08,26787.20662637
N,NORTE,2003-04-09,2836.70416667
NE,NORDESTE,2003-04-09,6175.33333333
S,SUL,2003-04-09,7409.28917007
SE,SUDESTE,2003-04-09,27418.15370493
N,NORTE,2003-04-10,2785.10833333
NE,NORDESTE,2003-04-10,6117.95375000
S,SUL,2003-04-10,7342.13374975
SE,SUDESTE,2003-04-10,27664.88875025
N,NORTE,2003-04-11,2833.36083333
NE,NORDESTE,2003-04-11,6211.09000000
S,SUL,2003-04-11,7118.09374898
SE,SUDESTE,2003-04-11,27555.44770935
N,NORTE,2003-04-12,2760.47083333
NE,NORDESTE,2003-04-12,5982.71333333
S,SUL,2003-04-12,6233.16375046
SE,SUDESTE,2003-04-12,24937.55729121
N,NORTE,2003-04-13,2657.62083333
NE,NORDESTE,2003-04-13,5590.51708333
S,SUL,2003-04-13,5255.27666842
SE,SUDESTE,2003-04-13,21716.77749825
N,NORTE,2003-04-14,2824.77500000
NE,NORDESTE,2003-04-14,6249.78708333
S,SUL,2003-04-14,6997.20541420
SE,SUDESTE,2003-04-14,25900.80041913
N,NORTE,2003-04-15,2820.11666667
NE,NORDESTE,2003-04-15,6341.83125000
S,SUL,2003-04-15,7303.70666555
SE,SUDESTE,2003-04-15,26812.92812612
N,NORTE,2003-04-16,2819.68750000
NE,NORDESTE,2003-04-16,6296.70041667
S,SUL,2003-04-16,7393.41374995
SE,SUDESTE,2003-04-16,27106.84437505
N,NORTE,2003-04-17,2777.65416667
NE,NORDESTE,2003-04-17,6108.28000000
S,SUL,2003-04-17,7272.15083033
SE,SUDESTE,2003-04-17,27018.05946133
N,NORTE,2003-04-18,2629.45416667
NE,NORDESTE,2003-04-18,5194.35541667
S,SUL,2003-04-18,5381.47500229
SE,SUDESTE,2003-04-18,22323.07333104
N,NORTE,2003-04-19,2686.06250000
NE,NORDESTE,2003-04-19,5523.90083333
S,SUL,2003-04-19,5533.73708369
SE,SUDESTE,2003-04-19,23734.76504131
N,NORTE,2003-04-20,2640.17500000
NE,NORDESTE,2003-04-20,5339.90416667
S,SUL,2003-04-20,4804.74583066
SE,SUDESTE,2003-04-20,22037.41404434
N,NORTE,2003-04-21,2671.07500000
NE,NORDESTE,2003-04-21,5458.53791667
S,SUL,2003-04-21,5478.61166840
SE,SUDESTE,2003-04-21,23150.41424827
N,NORTE,2003-04-22,2847.87083333
NE,NORDESTE,2003-04-22,6130.94166667
S,SUL,2003-04-22,7210.46791687
SE,SUDESTE,2003-04-22,27437.69674980
N,NORTE,2003-04-23,2836.90416667
NE,NORDESTE,2003-04-23,6194.73541667
S,SUL,2003-04-23,7543.41541773
SE,SUDESTE,2003-04-23,27723.84912393
N,NORTE,2003-04-24,2818.47916667
NE,NORDESTE,2003-04-24,6200.57000000
S,SUL,2003-04-24,7560.71666565
SE,SUDESTE,2003-04-24,28121.83650102
N,NORTE,2003-04-25,2844.95416667
NE,NORDESTE,2003-04-25,6253.32416667
S,SUL,2003-04-25,7582.15416514
SE,SUDESTE,2003-04-25,28185.24837653
N,NORTE,2003-04-26,2763.28333333
NE,NORDESTE,2003-04-26,5939.63083333
S,SUL,2003-04-26,6751.78624649
SE,SUDESTE,2003-04-26,26303.51425351
N,NORTE,2003-04-27,2699.93750000
NE,NORDESTE,2003-04-27,5482.91125000
S,SUL,2003-04-27,5611.09874980
SE,SUDESTE,2003-04-27,23641.65241687
N,NORTE,2003-04-28,2866.06666667
NE,NORDESTE,2003-04-28,6083.30166667
S,SUL,2003-04-28,7341.89041799
SE,SUDESTE,2003-04-28,27862.21445701
N,NORTE,2003-04-29,2921.21250000
NE,NORDESTE,2003-04-29,6245.64916667
S,SUL,2003-04-29,7899.31749967
SE,SUDESTE,2003-04-29,28091.84295866
N,NORTE,2003-04-30,2880.15416667
NE,NORDESTE,2003-04-30,6254.86375000
S,SUL,2003-04-30,7432.46375173
SE,SUDESTE,2003-04-30,28572.87166494
N,NORTE,2003-05-01,2705.50000000
NE,NORDESTE,2003-05-01,5459.08291667
S,SUL,2003-05-01,5706.11279162
SE,SUDESTE,2003-05-01,24468.72666672
N,NORTE,2003-05-02,2787.89166667
NE,NORDESTE,2003-05-02,6010.68916667
S,SUL,2003-05-02,6490.70296022
SE,SUDESTE,2003-05-02,26354.79624812
N,NORTE,2003-05-03,2769.98333333
NE,NORDESTE,2003-05-03,5832.28041667
S,SUL,2003-05-03,5851.04166504
SE,SUDESTE,2003-05-03,23629.43291829
N,NORTE,2003-05-04,2647.08333333
NE,NORDESTE,2003-05-04,5347.15958333
S,SUL,2003-05-04,5047.48841992
SE,SUDESTE,2003-05-04,21677.07124674
N,NORTE,2003-05-05,2814.20833333
NE,NORDESTE,2003-05-05,5892.74541667
S,SUL,2003-05-05,6871.46737312
SE,SUDESTE,2003-05-05,26104.00208522
N,NORTE,2003-05-06,2838.32500000
NE,NORDESTE,2003-05-06,6128.78000000
S,SUL,2003-05-06,7087.56628882
SE,SUDESTE,2003-05-06,26607.04833618
N,NORTE,2003-05-07,2867.56666667
NE,NORDESTE,2003-05-07,6162.39375000
S,SUL,2003-05-07,7008.76812668
SE,SUDESTE,2003-05-07,25979.97583165
N,NORTE,2003-05-08,2873.81666667
NE,NORDESTE,2003-05-08,6127.82208333
S,SUL,2003-05-08,7096.52249802
SE,SUDESTE,2003-05-08,25844.42416865
N,NORTE,2003-05-09,2844.32083333
NE,NORDESTE,2003-05-09,6117.29875000
S,SUL,2003-05-09,7066.92174781
SE,SUDESTE,2003-05-09,26000.36625219
N,NORTE,2003-05-10,2804.84166667
NE,NORDESTE,2003-05-10,5871.65833333
S,SUL,2003-05-10,6250.03129233
SE,SUDESTE,2003-05-10,24160.14624934
N,NORTE,2003-05-11,2701.62916667
NE,NORDESTE,2003-05-11,5281.99250000
S,SUL,2003-05-11,5086.55728836
