id_subsistema,nom_subsistema,din_instante,val_cargaenergiamwmed
N,NORTE,2014-01-01,4629.20687500
NE,NORDESTE,2014-01-01,8104.89916667
S,SUL,2014-01-01,8451.91411621
SE,SUDESTE,2014-01-01,29770.29600000
N,NORTE,2014-01-02,5204.65166667
NE,NORDESTE,2014-01-02,9428.02975000
S,SUL,2014-01-02,10377.18163413
SE,SUDESTE,2014-01-02,36565.28716667
N,NORTE,2014-01-03,5394.63495833
NE,NORDESTE,2014-01-03,9742.56737500
S,SUL,2014-01-03,10431.45081108
SE,SUDESTE,2014-01-03,38684.17337500
N,NORTE,2014-01-04,5255.96941667
NE,NORDESTE,2014-01-04,9437.88900000
S,SUL,2014-01-04,9028.46095529
SE,SUDESTE,2014-01-04,36274.28254167
N,NORTE,2014-01-05,4979.70170833
NE,NORDESTE,2014-01-05,8863.98825000
S,SUL,2014-01-05,8201.22820500
SE,SUDESTE,2014-01-05,32948.99912500
N,NORTE,2014-01-06,5296.61833333
NE,NORDESTE,2014-01-06,9700.87937500
S,SUL,2014-01-06,11069.94890158
SE,SUDESTE,2014-01-06,39122.66291667
N,NORTE,2014-01-07,5341.32270833
NE,NORDESTE,2014-01-07,9821.01287500
S,SUL,2014-01-07,12069.24842700
SE,SUDESTE,2014-01-07,39934.31366667
N,NORTE,2014-01-08,5355.01158333
NE,NORDESTE,2014-01-08,9806.72225000
S,SUL,2014-01-08,12212.10978321
SE,SUDESTE,2014-01-08,40761.80583333
N,NORTE,2014-01-09,5225.57700000
NE,NORDESTE,2014-01-09,9925.60783333
S,SUL,2014-01-09,12375.96507013
SE,SUDESTE,2014-01-09,41170.31591667
N,NORTE,2014-01-10,5144.79500000
NE,NORDESTE,2014-01-10,9952.67335833
S,SUL,2014-01-10,12622.98325037
SE,SUDESTE,2014-01-10,41211.25425000
N,NORTE,2014-01-11,5053.19187500
NE,NORDESTE,2014-01-11,9272.61263333
S,SUL,2014-01-11,10333.89310813
SE,SUDESTE,2014-01-11,37621.07158333
N,NORTE,2014-01-12,4795.78091667
NE,NORDESTE,2014-01-12,8520.03314167
S,SUL,2014-01-12,8569.89065296
SE,SUDESTE,2014-01-12,33691.80320833
N,NORTE,2014-01-13,5098.47245833
NE,NORDESTE,2014-01-13,9654.56677500
S,SUL,2014-01-13,11275.12850150
SE,SUDESTE,2014-01-13,39811.44395833
N,NORTE,2014-01-14,5152.63662500
NE,NORDESTE,2014-01-14,9946.91362500
S,SUL,2014-01-14,11960.43119842
SE,SUDESTE,2014-01-14,40603.67170833
N,NORTE,2014-01-15,5175.99783333
NE,NORDESTE,2014-01-15,10019.63755833
S,SUL,2014-01-15,11919.62849046
SE,SUDESTE,2014-01-15,40936.01400000
N,NORTE,2014-01-16,5197.71600000
NE,NORDESTE,2014-01-16,10097.69995833
S,SUL,2014-01-16,12018.95646608
SE,SUDESTE,2014-01-16,40553.46162500
N,NORTE,2014-01-17,5328.76254167
NE,NORDESTE,2014-01-17,10275.84862500
S,SUL,2014-01-17,12523.49312246
SE,SUDESTE,2014-01-17,39756.63225000
N,NORTE,2014-01-18,5170.69291667
NE,NORDESTE,2014-01-18,9843.24612500
S,SUL,2014-01-18,11102.72033112
SE,SUDESTE,2014-01-18,35182.97579167
N,NORTE,2014-01-19,4980.84229167
NE,NORDESTE,2014-01-19,9036.68203719
S,SUL,2014-01-19,9803.52004467
SE,SUDESTE,2014-01-19,31864.13220833
N,NORTE,2014-01-20,5362.54733333
NE,NORDESTE,2014-01-20,9932.29640000
S,SUL,2014-01-20,13113.96582604
SE,SUDESTE,2014-01-20,38366.86512500
N,NORTE,2014-01-21,5356.24079167
NE,NORDESTE,2014-01-21,10131.37044167
S,SUL,2014-01-21,13750.22544896
SE,SUDESTE,2014-01-21,40423.13866667
N,NORTE,2014-01-22,5392.90495833
NE,NORDESTE,2014-01-22,10115.58183333
S,SUL,2014-01-22,14255.40342771
SE,SUDESTE,2014-01-22,41003.88254167
N,NORTE,2014-01-23,5491.37304167
NE,NORDESTE,2014-01-23,10333.50445833
S,SUL,2014-01-23,14355.77177667
SE,SUDESTE,2014-01-23,41452.60241667
N,NORTE,2014-01-24,5255.24466667
NE,NORDESTE,2014-01-24,10178.15336667
S,SUL,2014-01-24,14257.98933921
SE,SUDESTE,2014-01-24,41465.30350000
N,NORTE,2014-01-25,4954.88487500
NE,NORDESTE,2014-01-25,9643.48650000
S,SUL,2014-01-25,11115.90032763
SE,SUDESTE,2014-01-25,37170.68716667
