id_subsistema,nom_subsistema,din_instante,val_cargaenergiamwmed
N,NORTE,2009-01-01,3330.30291667
NE,NORDESTE,2009-01-01,6138.17458333
S,SUL,2009-01-01,6085.48650667
SE,SUDESTE,2009-01-01,22893.83875000
N,NORTE,2009-01-02,3480.83208333
NE,NORDESTE,2009-01-02,6900.43416667
S,SUL,2009-01-02,6744.07122083
SE,SUDESTE,2009-01-02,26104.56666667
N,NORTE,2009-01-03,3471.33791667
NE,NORDESTE,2009-01-03,6946.52250000
S,SUL,2009-01-03,6408.88642083
SE,SUDESTE,2009-01-03,25754.13708333
N,NORTE,2009-01-04,3347.24375000
NE,NORDESTE,2009-01-04,6555.18208333
S,SUL,2009-01-04,5749.40130750
SE,SUDESTE,2009-01-04,23795.98958333
N,NORTE,2009-01-05,3660.32458333
NE,NORDESTE,2009-01-05,7524.78250000
S,SUL,2009-01-05,7483.29794833
SE,SUDESTE,2009-01-05,27621.68791667
N,NORTE,2009-01-06,3704.80708333
NE,NORDESTE,2009-01-06,7580.14125000
S,SUL,2009-01-06,8144.59871750
SE,SUDESTE,2009-01-06,28943.85250000
N,NORTE,2009-01-07,3715.65083333
NE,NORDESTE,2009-01-07,7665.04291667
S,SUL,2009-01-07,8717.33443583
SE,SUDESTE,2009-01-07,29788.99416667
N,NORTE,2009-01-08,3551.67750000
NE,NORDESTE,2009-01-08,7712.51750000
S,SUL,2009-01-08,9033.88644833
SE,SUDESTE,2009-01-08,30746.71875000
N,NORTE,2009-01-09,3688.20625000
NE,NORDESTE,2009-01-09,7598.79041667
S,SUL,2009-01-09,8996.71992333
SE,SUDESTE,2009-01-09,31583.50541667
N,NORTE,2009-01-10,3604.23333333
NE,NORDESTE,2009-01-10,7192.44416667
S,SUL,2009-01-10,7779.11224417
SE,SUDESTE,2009-01-10,28728.24791667
N,NORTE,2009-01-11,3474.61041667
NE,NORDESTE,2009-01-11,6557.10083333
S,SUL,2009-01-11,6446.47613417
SE,SUDESTE,2009-01-11,25997.27750000
N,NORTE,2009-01-12,3666.66000000
NE,NORDESTE,2009-01-12,7506.07583333
S,SUL,2009-01-12,8909.60070417
SE,SUDESTE,2009-01-12,31831.23500000
N,NORTE,2009-01-13,3742.23000000
NE,NORDESTE,2009-01-13,7675.66250000
S,SUL,2009-01-13,9042.26437667
SE,SUDESTE,2009-01-13,33315.21708333
N,NORTE,2009-01-14,3757.03416667
NE,NORDESTE,2009-01-14,7651.47958333
S,SUL,2009-01-14,9191.23688333
SE,SUDESTE,2009-01-14,33211.98541667
N,NORTE,2009-01-15,3719.27416667
NE,NORDESTE,2009-01-15,7727.34916667
S,SUL,2009-01-15,9297.83645417
SE,SUDESTE,2009-01-15,32536.86000000
N,NORTE,2009-01-16,3687.13375000
NE,NORDESTE,2009-01-16,7653.14041667
S,SUL,2009-01-16,9290.34468083
SE,SUDESTE,2009-01-16,32384.33041667
N,NORTE,2009-01-17,3549.58666667
NE,NORDESTE,2009-01-17,7235.11750000
S,SUL,2009-01-17,8079.48657583
SE,SUDESTE,2009-01-17,29312.08166667
N,NORTE,2009-01-18,3372.66125000
NE,NORDESTE,2009-01-18,6549.93500000
S,SUL,2009-01-18,6949.48490250
SE,SUDESTE,2009-01-18,26040.05708333
N,NORTE,2009-01-19,3550.82708333
NE,NORDESTE,2009-01-19,7349.98250000
S,SUL,2009-01-19,8985.14690750
SE,SUDESTE,2009-01-19,31263.69500000
N,NORTE,2009-01-20,3593.22291667
NE,NORDESTE,2009-01-20,7605.90958333
S,SUL,2009-01-20,8953.45102667
SE,SUDESTE,2009-01-20,31736.31541667
N,NORTE,2009-01-21,3570.77666667
NE,NORDESTE,2009-01-21,7479.12958333
S,SUL,2009-01-21,9044.66378500
SE,SUDESTE,2009-01-21,31469.08791667
N,NORTE,2009-01-22,3572.49000000
NE,NORDESTE,2009-01-22,7395.64875000
S,SUL,2009-01-22,9204.38131167
SE,SUDESTE,2009-01-22,30903.61958333
N,NORTE,2009-01-23,3576.93000000
NE,NORDESTE,2009-01-23,7450.27500000
S,SUL,2009-01-23,9255.60477833
SE,SUDESTE,2009-01-23,30703.37416667
N,NORTE,2009-01-24,3481.27208333
NE,NORDESTE,2009-01-24,7077.35958333
S,SUL,2009-01-24,8011.71934833
SE,SUDESTE,2009-01-24,28205.20291667
N,NORTE,2009-01-25,3351.56041667
NE,NORDESTE,2009-01-25,6388.79541667
S,SUL,2009-01-25,6971.27755833
SE,SUDESTE,2009-01-25,25363.35833333
N,NORTE,2009-01-26,3525.84750000
NE,NORDESTE,2009-01-26,7218.12333333
S,SUL,2009-01-26,9416.78105167
SE,SUDESTE,2009-01-26,30649.00916667
N,NORTE,2009-01-27,3611.98208333
NE,NORDESTE,2009-01-27,7619.63458333
S,SUL,2009-01-27,9737.12908167
SE,SUDESTE,2009-01-27,31467.97333333
N,NORTE,2009-01-28,3602.77000000
NE,NORDESTE,2009-01-28,7688.96833333
S,SUL,2009-01-28,9637.62808083
SE,SUDESTE,2009-01-28,31598.54291667
N,NORTE,2009-01-29,3629.02583333
NE,NORDESTE,2009-01-29,7690.41833333
S,SUL,2009-01-29,9392.48887083
SE,SUDESTE,2009-01-29,31714.18583333
N,NORTE,2009-01-30,3618.97000000
NE,NORDESTE,2009-01-30,7576.03875000
S,SUL,2009-01-30,9517.76568750
SE,SUDESTE,2009-01-30,32195.10625000
N,NORTE,2009-01-31,3433.53000000
NE,NORDESTE,2009-01-31,7220.13666667
S,SUL,2009-01-31,8214.01208333
SE,SUDESTE,2009-01-31,29197.11958333
N,NORTE,2009-02-01,3319.21083333
NE,NORDESTE,2009-02-01,6667.02208333
S,SUL,2009-02-01,7017.90875000
SE,SUDESTE,2009-02-01,26475.50125000
N,NORTE,2009-02-02,3528.82250000
NE,NORDESTE,2009-02-02,7494.33416667
S,SUL,2009-02-02,9107.76541667
SE,SUDESTE,2009-02-02,32130.01750000
N,NORTE,2009-02-03,3569.91458333
NE,NORDESTE,2009-02-03,7566.27708333
S,SUL,2009-02-03,9678.31458333
SE,SUDESTE,2009-02-03,33018.78375000
N,NORTE,2009-02-04,3515.98541667
NE,NORDESTE,2009-02-04,7576.50375000
S,SUL,2009-02-04,9673.36125000
SE,SUDESTE,2009-02-04,33355.20166667
N,NORTE,2009-02-05,3507.81291667
NE,NORDESTE,2009-02-05,7678.06041667
S,SUL,2009-02-05,9684.43500000
SE,SUDESTE,2009-02-05,33374.72083333
N,NORTE,2009-02-06,3579.66083333
NE,NORDESTE,2009-02-06,7776.72375000
S,SUL,2009-02-06,9848.43708333
SE,SUDESTE,2009-02-06,33434.55000000
N,NORTE,2009-02-07,3508.82833333
NE,NORDESTE,2009-02-07,7434.35416667
S,SUL,2009-02-07,8622.71583333
SE,SUDESTE,2009-02-07,30638.88666667
N,NORTE,2009-02-08,3374.82458333
NE,NORDESTE,2009-02-08,6873.54416667
S,SUL,2009-02-08,7372.44583333
SE,SUDESTE,2009-02-08,27406.34291667
N,NORTE,2009-02-09,3584.08208333
NE,NORDESTE,2009-02-09,7759.31750000
S,SUL,2009-02-09,9788.35041667
SE,SUDESTE,2009-02-09,32715.37875000
N,NORTE,2009-02-10,3619.90333333
NE,NORDESTE,2009-02-10,7972.26291667
S,SUL,2009-02-10,10065.15337500
SE,SUDESTE,2009-02-10,33559.78458333
N,NORTE,2009-02-11,3584.24500000
NE,NORDESTE,2009-02-11,8017.21708333
S,SUL,2009-02-11,9827.32625000
SE,SUDESTE,2009-02-11,33815.06583333
N,NORTE,2009-02-12,3554.66333333
NE,NORDESTE,2009-02-12,8031.88250000
S,SUL,2009-02-12,9396.44875000
SE,SUDESTE,2009-02-12,33484.73250000
N,NORTE,2009-02-13,3598.04250000
NE,NORDESTE,2009-02-13,7926.28958333
S,SUL,2009-02-13,9409.19458333
SE,SUDESTE,2009-02-13,31985.47250000
N,NORTE,2009-02-14,3442.65875000
NE,NORDESTE,2009-02-14,7306.28833333
S,SUL,2009-02-14,8211.19612500
SE,SUDESTE,2009-02-14,28864.50666667
N,NORTE,2009-02-15,3293.34333333
NE,NORDESTE,2009-02-15,6806.79541667
S,SUL,2009-02-15,7112.89816667
SE,SUDESTE,2009-02-15,26160.04625000
N,NORTE,2009-02-16,3495.12708333
NE,NORDESTE,2009-02-16,7594.14916667
S,SUL,2009-02-16,9517.03745833
SE,SUDESTE,2009-02-16,32125.05375000
N,NORTE,2009-02-17,3512.76500000
NE,NORDESTE,2009-02-17,7639.28791667
S,SUL,2009-02-17,9863.26858333
SE,SUDESTE,2009-02-17,33348.47875000
N,NORTE,2009-02-18,3560.15416667
NE,NORDESTE,2009-02-18,7639.46000000
S,SUL,2009-02-18,10081.10454167
SE,SUDESTE,2009-02-18,33758.26041667
N,NORTE,2009-02-19,3537.20916667
NE,NORDESTE,2009-02-19,7732.96708333
S,SUL,2009-02-19,10045.07066667
SE,SUDESTE,2009-02-19,33860.60333333
N,NORTE,2009-02-20,3560.32583333
NE,NORDESTE,2009-02-20,7575.33625000
S,SUL,2009-02-20,9864.06075000
SE,SUDESTE,2009-02-20,33546.11583333
N,NORTE,2009-02-21,3409.20750000
NE,NORDESTE,2009-02-21,7077.37333333
S,SUL,2009-02-21,8202.67500000
SE,SUDESTE,2009-02-21,30039.20083333
N,NORTE,2009-02-22,3238.99666667
NE,NORDESTE,2009-02-22,6415.09041667
S,SUL,2009-02-22,6981.65916667
SE,SUDESTE,2009-02-22,26748.12083333
N,NORTE,2009-02-23,3314.74375000
NE,NORDESTE,2009-02-23,6295.13500000
S,SUL,2009-02-23,8139.45879167
SE,SUDESTE,2009-02-23,28288.53958333
N,NORTE,2009-02-24,3245.29875000
NE,NORDESTE,2009-02-24,6291.56666667
S,SUL,2009-02-24,7790.34612500
SE,SUDESTE,2009-02-24,27832.50666667
N,NORTE,2009-02-25,3435.46416667
NE,NORDESTE,2009-02-25,6906.78875000
S,SUL,2009-02-25,8648.66562500
SE,SUDESTE,2009-02-25,30797.18000000
N,NORTE,2009-02-26,3535.68375000
NE,NORDESTE,2009-02-26,7521.11750000
S,SUL,2009-02-26,8995.11791667
SE,SUDESTE,2009-02-26,32663.21291667
N,NORTE,2009-02-27,3588.77375000
NE,NORDESTE,2009-02-27,7560.09166667
S,SUL,2009-02-27,9116.22816667
SE,SUDESTE,2009-02-27,33100.44541667
N,NORTE,2009-02-28,3515.12166667
NE,NORDESTE,2009-02-28,7133.79958333
S,SUL,2009-02-28,8075.58804167
SE,SUDESTE,2009-02-28,30671.30208333
N,NORTE,2009-03-01,3482.50375000
NE,NORDESTE,2009-03-01,6558.09333333
S,SUL,2009-03-01,7185.12466667
SE,SUDESTE,2009-03-01,27621.60375000
N,NORTE,2009-03-02,3688.33000000
NE,NORDESTE,2009-03-02,7402.45875000
S,SUL,2009-03-02,9442.21887500
SE,SUDESTE,2009-03-02,34026.13916667
N,NORTE,2009-03-03,3702.87083333
NE,NORDESTE,2009-03-03,7601.11791667
S,SUL,2009-03-03,9786.03337500
SE,SUDESTE,2009-03-03,35267.23416667
N,NORTE,2009-03-04,3661.67166667
NE,NORDESTE,2009-03-04,7704.32791667
S,SUL,2009-03-04,10093.38262500
SE,SUDESTE,2009-03-04,35723.38708333
N,NORTE,2009-03-05,3587.83916667
NE,NORDESTE,2009-03-05,7732.22875000
S,SUL,2009-03-05,10180.12666667
SE,SUDESTE,2009-03-05,35911.96958333
N,NORTE,2009-03-06,3607.95583333
NE,NORDESTE,2009-03-06,7634.50250000
S,SUL,2009-03-06,9998.94929167
SE,SUDESTE,2009-03-06,35904.47375000
N,NORTE,2009-03-07,3552.35958333
NE,NORDESTE,2009-03-07,7321.67875000
S,SUL,2009-03-07,8557.61275000
SE,SUDESTE,2009-03-07,31756.90000000
N,NORTE,2009-03-08,3426.77541667
NE,NORDESTE,2009-03-08,6736.68416667
S,SUL,2009-03-08,7224.30245833
SE,SUDESTE,2009-03-08,28010.00416667
N,NORTE,2009-03-09,3606.62750000
NE,NORDESTE,2009-03-09,7661.89583333
S,SUL,2009-03-09,9121.28879167
SE,SUDESTE,2009-03-09,33826.85208333
N,NORTE,2009-03-10,3592.33875000
NE,NORDESTE,2009-03-10,7862.14458333
S,SUL,2009-03-10,9549.58375000
SE,SUDESTE,2009-03-10,34397.52333333
N,NORTE,2009-03-11,3656.40458333
NE,NORDESTE,2009-03-11,7888.99458333
S,SUL,2009-03-11,9654.18750000
SE,SUDESTE,2009-03-11,34282.73208333
N,NORTE,2009-03-12,3623.23666667
NE,NORDESTE,2009-03-12,7914.54666667
S,SUL,2009-03-12,9758.26045833
SE,SUDESTE,2009-03-12,34680.72125000
N,NORTE,2009-03-13,3673.76833333
NE,NORDESTE,2009-03-13,7953.90916667
S,SUL,2009-03-13,9659.31229167
SE,SUDESTE,2009-03-13,34250.59250000
N,NORTE,2009-03-14,3546.67541667
NE,NORDESTE,2009-03-14,7582.50083333
S,SUL,2009-03-14,8375.04437500
SE,SUDESTE,2009-03-14,30788.51916667
N,NORTE,2009-03-15,3414.04916667
NE,NORDESTE,2009-03-15,6977.39875000
S,SUL,2009-03-15,7059.45525000
SE,SUDESTE,2009-03-15,27202.52500000
N,NORTE,2009-03-16,3584.81000000
NE,NORDESTE,2009-03-16,7865.90583333
S,SUL,2009-03-16,9096.76429167
SE,SUDESTE,2009-03-16,32542.22208333
N,NORTE,2009-03-17,3576.26416667
NE,NORDESTE,2009-03-17,7800.58416667
S,SUL,2009-03-17,9478.95925000
SE,SUDESTE,2009-03-17,33390.63333333
N,NORTE,2009-03-18,3583.81708333
NE,NORDESTE,2009-03-18,7799.92250000
S,SUL,2009-03-18,9468.77758333
SE,SUDESTE,2009-03-18,33398.46458333
N,NORTE,2009-03-19,3631.18958333
NE,NORDESTE,2009-03-19,7751.49875000
S,SUL,2009-03-19,9529.37962500
SE,SUDESTE,2009-03-19,33246.87833333
N,NORTE,2009-03-20,3637.05250000
NE,NORDESTE,2009-03-20,7912.29541667
S,SUL,2009-03-20,9446.50883333
SE,SUDESTE,2009-03-20,33132.16500000
N,NORTE,2009-03-21,3546.20583333
NE,NORDESTE,2009-03-21,7537.98416667
S,SUL,2009-03-21,8400.74375000
SE,SUDESTE,2009-03-21,30030.29000000
N,NORTE,2009-03-22,3312.30833333
NE,NORDESTE,2009-03-22,6955.86916667
S,SUL,2009-03-22,7110.36108333
SE,SUDESTE,2009-03-22,26523.52000000
N,NORTE,2009-03-23,3585.83500000
NE,NORDESTE,2009-03-23,7846.86250000
S,SUL,2009-03-23,9469.79887500
SE,SUDESTE,2009-03-23,32034.49583333
N,NORTE,2009-03-24,3641.07041667
NE,NORDESTE,2009-03-24,7927.67125000
S,SUL,2009-03-24,9717.08591667
SE,SUDESTE,2009-03-24,32746.60208333
N,NORTE,2009-03-25,3594.94375000
NE,NORDESTE,2009-03-25,7868.06458333
S,SUL,2009-03-25,9612.56895833
SE,SUDESTE,2009-03-25,32472.54166667
N,NORTE,2009-03-26,3620.22208333
NE,NORDESTE,2009-03-26,7915.50416667
S,SUL,2009-03-26,9685.04775000
SE,SUDESTE,2009-03-26,32520.45875000
N,NORTE,2009-03-27,3580.12625000
NE,NORDESTE,2009-03-27,7930.84208333
S,SUL,2009-03-27,9627.93216667
SE,SUDESTE,2009-03-27,32702.25208333
N,NORTE,2009-03-28,3504.39750000
NE,NORDESTE,2009-03-28,7485.40041667
S,SUL,2009-03-28,8414.71862500
SE,SUDESTE,2009-03-28,30761.27625000
N,NORTE,2009-03-29,3284.82541667
NE,NORDESTE,2009-03-29,6955.03291667
S,SUL,2009-03-29,7657.85075000
SE,SUDESTE,2009-03-29,26470.22583333
N,NORTE,2009-03-30,3593.91916667
NE,NORDESTE,2009-03-30,7892.61583333
S,SUL,2009-03-30,9624.41145833
SE,SUDESTE,2009-03-30,32247.42000000
N,NORTE,2009-03-31,3574.11166667
NE,NORDESTE,2009-03-31,7994.04875000
S,SUL,2009-03-31,9974.43475000
SE,SUDESTE,2009-03-31,32755.06458333
N,NORTE,2009-04-01,3671.09500000
NE,NORDESTE,2009-04-01,7926.16416667
S,SUL,2009-04-01,9669.07233333
SE,SUDESTE,2009-04-01,32532.95416667
N,NORTE,2009-04-02,3661.12041667
NE,NORDESTE,2009-04-02,7927.92583333
S,SUL,2009-04-02,9456.49625000
SE,SUDESTE,2009-04-02,32391.64875000
N,NORTE,2009-04-03,3693.51250000
NE,NORDESTE,2009-04-03,7832.60166667
S,SUL,2009-04-03,9583.62458333
SE,SUDESTE,2009-04-03,31622.84250000
N,NORTE,2009-04-04,3583.49250000
NE,NORDESTE,2009-04-04,7385.76916667
S,SUL,2009-04-04,9007.46541667
SE,SUDESTE,2009-04-04,29861.95083333
N,NORTE,2009-04-05,3384.41083333
NE,NORDESTE,2009-04-05,6825.45291667
S,SUL,2009-04-05,7038.14666667
SE,SUDESTE,2009-04-05,26955.45583333
N,NORTE,2009-04-06,3649.50208333
NE,NORDESTE,2009-04-06,7738.54791667
S,SUL,2009-04-06,9350.87458333
SE,SUDESTE,2009-04-06,32302.90000000
N,NORTE,2009-04-07,3670.64916667
NE,NORDESTE,2009-04-07,7971.10125000
S,SUL,2009-04-07,9795.91250000
SE,SUDESTE,2009-04-07,32939.63208333
N,NORTE,2009-04-08,3674.50541667
NE,NORDESTE,2009-04-08,8024.34750000
S,SUL,2009-04-08,9662.37708333
SE,SUDESTE,2009-04-08,32829.69958333
N,NORTE,2009-04-09,3540.22666667
NE,NORDESTE,2009-04-09,7675.09708333
S,SUL,2009-04-09,9349.66708333
SE,SUDESTE,2009-04-09,32232.98375000
N,NORTE,2009-04-10,3205.83416667
NE,NORDESTE,2009-04-10,6447.18833333
S,SUL,2009-04-10,6689.03000000
SE,SUDESTE,2009-04-10,26068.10625000
N,NORTE,2009-04-11,3336.33333333
NE,NORDESTE,2009-04-11,6722.85666667
S,SUL,2009-04-11,7023.33166667
SE,SUDESTE,2009-04-11,26915.20416667
N,NORTE,2009-04-12,3215.50833333
NE,NORDESTE,2009-04-12,6443.13166667
S,SUL,2009-04-12,6426.63625000
SE,SUDESTE,2009-04-12,25139.47291667
N,NORTE,2009-04-13,3518.25125000
NE,NORDESTE,2009-04-13,7314.60000000
S,SUL,2009-04-13,9150.33708333
SE,SUDESTE,2009-04-13,31504.51458333
N,NORTE,2009-04-14,3624.81500000
NE,NORDESTE,2009-04-14,7592.50375000
S,SUL,2009-04-14,9646.04541667
SE,SUDESTE,2009-04-14,32493.12666667
N,NORTE,2009-04-15,3647.37916667
NE,NORDESTE,2009-04-15,7561.98208333
S,SUL,2009-04-15,9409.30112500
SE,SUDESTE,2009-04-15,32289.77750000
N,NORTE,2009-04-16,3530.18333333
NE,NORDESTE,2009-04-16,7527.04458333
S,SUL,2009-04-16,9358.56845833
SE,SUDESTE,2009-04-16,31674.45166667
N,NORTE,2009-04-17,3545.64208333
NE,NORDESTE,2009-04-17,7578.02625000
S,SUL,2009-04-17,9187.44545833
SE,SUDESTE,2009-04-17,31530.94750000
N,NORTE,2009-04-18,3459.99958333
NE,NORDESTE,2009-04-18,7138.22833333
S,SUL,2009-04-18,7998.59725000
SE,SUDESTE,2009-04-18,28511.93708333
N,NORTE,2009-04-19,3326.16333333
NE,NORDESTE,2009-04-19,6448.09416667
S,SUL,2009-04-19,6544.02300000
SE,SUDESTE,2009-04-19,25154.12083333
N,NORTE,2009-04-20,3571.71583333
NE,NORDESTE,2009-04-20,7202.65375000
S,SUL,2009-04-20,7920.55100000
SE,SUDESTE,2009-04-20,28829.48041667
N,NORTE,2009-04-21,3418.99166667
NE,NORDESTE,2009-04-21,6760.88625000
S,SUL,2009-04-21,7373.92029167
SE,SUDESTE,2009-04-21,27033.14250000
N,NORTE,2009-04-22,3654.51500000
NE,NORDESTE,2009-04-22,7292.98083333
S,SUL,2009-04-22,8750.78491667
SE,SUDESTE,2009-04-22,30971.97708333
N,NORTE,2009-04-23,3707.72375000
NE,NORDESTE,2009-04-23,7432.76250000
S,SUL,2009-04-23,8847.11266667
SE,SUDESTE,2009-04-23,31240.51375000
N,NORTE,2009-04-24,3695.85375000
NE,NORDESTE,2009-04-24,7501.63208333
