id_subsistema,nom_subsistema,din_instante,val_cargaenergiamwmed
N,NORTE,2005-01-01,2836.05000000
NE,NORDESTE,2005-01-01,5697.88833333
S,SUL,2005-01-01,5623.14666748
SE,SUDESTE,2005-01-01,21533.05749919
N,NORTE,2005-01-02,2822.93333333
NE,NORDESTE,2005-01-02,5829.62291667
S,SUL,2005-01-02,5843.43333583
SE,SUDESTE,2005-01-02,22535.16041417
N,NORTE,2005-01-03,2982.78750000
NE,NORDESTE,2005-01-03,6720.01458333
S,SUL,2005-01-03,7521.57458120
SE,SUDESTE,2005-01-03,27491.96750214
N,NORTE,2005-01-04,3028.19166667
NE,NORDESTE,2005-01-04,6899.66000000
S,SUL,2005-01-04,7801.79583191
SE,SUDESTE,2005-01-04,28550.09541809
N,NORTE,2005-01-05,3023.86666667
NE,NORDESTE,2005-01-05,6928.71125000
S,SUL,2005-01-05,8091.09583405
SE,SUDESTE,2005-01-05,28624.98541595
N,NORTE,2005-01-06,3004.69583333
NE,NORDESTE,2005-01-06,6916.72750000
S,SUL,2005-01-06,8416.52625102
SE,SUDESTE,2005-01-06,28911.24874898
N,NORTE,2005-01-07,3041.78333333
NE,NORDESTE,2005-01-07,6960.06833333
S,SUL,2005-01-07,8500.90458267
SE,SUDESTE,2005-01-07,29524.85958399
N,NORTE,2005-01-08,2962.41250000
NE,NORDESTE,2005-01-08,6581.57166667
S,SUL,2005-01-08,7704.10541438
SE,SUDESTE,2005-01-08,27431.97958562
N,NORTE,2005-01-09,2853.72916667
NE,NORDESTE,2005-01-09,6194.16666667
S,SUL,2005-01-09,6718.49500188
SE,SUDESTE,2005-01-09,24718.92208145
N,NORTE,2005-01-10,2992.35833333
NE,NORDESTE,2005-01-10,6974.53583333
S,SUL,2005-01-10,8332.10624812
SE,SUDESTE,2005-01-10,29465.48375188
N,NORTE,2005-01-11,3007.89166667
NE,NORDESTE,2005-01-11,7036.48583333
S,SUL,2005-01-11,8474.90000086
SE,SUDESTE,2005-01-11,30157.60208247
N,NORTE,2005-01-12,3022.56250000
NE,NORDESTE,2005-01-12,7039.64083333
S,SUL,2005-01-12,8574.26916550
SE,SUDESTE,2005-01-12,29262.79500117
N,NORTE,2005-01-13,3118.35416667
NE,NORDESTE,2005-01-13,6937.70041667
S,SUL,2005-01-13,8635.56083206
SE,SUDESTE,2005-01-13,28915.86458460
N,NORTE,2005-01-14,3075.17916667
NE,NORDESTE,2005-01-14,6831.76333333
S,SUL,2005-01-14,8688.00458298
SE,SUDESTE,2005-01-14,29126.59833369
N,NORTE,2005-01-15,2974.49166667
NE,NORDESTE,2005-01-15,6509.36416667
S,SUL,2005-01-15,7545.96958145
SE,SUDESTE,2005-01-15,27376.27708522
N,NORTE,2005-01-16,2824.43750000
NE,NORDESTE,2005-01-16,5992.06041667
S,SUL,2005-01-16,6171.31666361
SE,SUDESTE,2005-01-16,25265.03833639
N,NORTE,2005-01-17,3046.73333333
NE,NORDESTE,2005-01-17,6710.18125000
S,SUL,2005-01-17,7906.95083394
SE,SUDESTE,2005-01-17,29356.10624939
N,NORTE,2005-01-18,3024.59583333
NE,NORDESTE,2005-01-18,6881.92375000
S,SUL,2005-01-18,8347.97291677
SE,SUDESTE,2005-01-18,29862.47208323
N,NORTE,2005-01-19,2998.18333333
NE,NORDESTE,2005-01-19,6945.69416667
S,SUL,2005-01-19,8566.34333384
SE,SUDESTE,2005-01-19,29910.73999949
N,NORTE,2005-01-20,2969.44166667
NE,NORDESTE,2005-01-20,6897.09833333
S,SUL,2005-01-20,8491.64458221
SE,SUDESTE,2005-01-20,29393.52666779
N,NORTE,2005-01-21,3037.95000000
NE,NORDESTE,2005-01-21,6994.17541667
S,SUL,2005-01-21,8346.32333399
SE,SUDESTE,2005-01-21,29913.04458267
N,NORTE,2005-01-22,2990.38750000
NE,NORDESTE,2005-01-22,6683.52500000
S,SUL,2005-01-22,7489.30666814
SE,SUDESTE,2005-01-22,27451.81208186
N,NORTE,2005-01-23,2862.94166667
NE,NORDESTE,2005-01-23,6147.86458333
S,SUL,2005-01-23,6610.76625290
SE,SUDESTE,2005-01-23,24692.71458043
N,NORTE,2005-01-24,3011.75833333
NE,NORDESTE,2005-01-24,6876.83458333
S,SUL,2005-01-24,8552.92000214
SE,SUDESTE,2005-01-24,29313.76458120
N,NORTE,2005-01-25,3044.23750000
NE,NORDESTE,2005-01-25,6981.88958333
S,SUL,2005-01-25,8385.74750041
SE,SUDESTE,2005-01-25,29465.49541626
N,NORTE,2005-01-26,3014.96666667
NE,NORDESTE,2005-01-26,6986.74041667
S,SUL,2005-01-26,8031.39125300
SE,SUDESTE,2005-01-26,29257.62166367
N,NORTE,2005-01-27,3047.82916667
NE,NORDESTE,2005-01-27,7075.15708333
S,SUL,2005-01-27,8066.41916687
SE,SUDESTE,2005-01-27,28438.19833313
N,NORTE,2005-01-28,3061.99166667
NE,NORDESTE,2005-01-28,7038.46166667
S,SUL,2005-01-28,8246.46000387
SE,SUDESTE,2005-01-28,28279.55374613
N,NORTE,2005-01-29,2947.81666667
NE,NORDESTE,2005-01-29,6560.67125000
S,SUL,2005-01-29,7514.87374837
SE,SUDESTE,2005-01-29,26366.51875163
N,NORTE,2005-01-30,2836.42916667
NE,NORDESTE,2005-01-30,6039.68083333
S,SUL,2005-01-30,6499.60541590
SE,SUDESTE,2005-01-30,23836.19333410
N,NORTE,2005-01-31,2982.75416667
NE,NORDESTE,2005-01-31,6861.73500000
S,SUL,2005-01-31,8500.15416712
SE,SUDESTE,2005-01-31,28281.16458288
N,NORTE,2005-02-01,2966.07083333
NE,NORDESTE,2005-02-01,6987.70250000
S,SUL,2005-02-01,8574.77791687
SE,SUDESTE,2005-02-01,28472.24958313
N,NORTE,2005-02-02,2983.69583333
NE,NORDESTE,2005-02-02,7022.45250000
S,SUL,2005-02-02,8244.90208267
SE,SUDESTE,2005-02-02,28961.08791733
N,NORTE,2005-02-03,2995.31250000
NE,NORDESTE,2005-02-03,7115.08625000
S,SUL,2005-02-03,8289.03708298
SE,SUDESTE,2005-02-03,29263.15416702
N,NORTE,2005-02-04,2989.25000000
NE,NORDESTE,2005-02-04,7026.98958333
S,SUL,2005-02-04,8363.51916631
SE,SUDESTE,2005-02-04,29233.95833369
N,NORTE,2005-02-05,2816.93750000
NE,NORDESTE,2005-02-05,6654.19500000
S,SUL,2005-02-05,7350.14833633
SE,SUDESTE,2005-02-05,26006.85583033
N,NORTE,2005-02-06,2763.85416667
NE,NORDESTE,2005-02-06,6143.16333333
S,SUL,2005-02-06,6225.08042007
SE,SUDESTE,2005-02-06,22929.13666326
N,NORTE,2005-02-07,2878.59166667
NE,NORDESTE,2005-02-07,6157.83125000
S,SUL,2005-02-07,7323.63625117
SE,SUDESTE,2005-02-07,24381.12416550
N,NORTE,2005-02-08,2845.35833333
NE,NORDESTE,2005-02-08,6083.85833333
S,SUL,2005-02-08,7183.75083221
SE,SUDESTE,2005-02-08,24152.79125112
N,NORTE,2005-02-09,2951.85416667
NE,NORDESTE,2005-02-09,6465.63208333
S,SUL,2005-02-09,8209.06833593
SE,SUDESTE,2005-02-09,26979.89541407
N,NORTE,2005-02-10,3062.87916667
NE,NORDESTE,2005-02-10,6943.79583333
S,SUL,2005-02-10,8563.50208522
SE,SUDESTE,2005-02-10,28758.98458145
N,NORTE,2005-02-11,3056.99583333
NE,NORDESTE,2005-02-11,6964.83750000
S,SUL,2005-02-11,8513.29499944
SE,SUDESTE,2005-02-11,29263.32375056
N,NORTE,2005-02-12,2956.77083333
NE,NORDESTE,2005-02-12,6552.06791667
S,SUL,2005-02-12,7396.56499781
SE,SUDESTE,2005-02-12,27060.88750219
N,NORTE,2005-02-13,2830.76666667
NE,NORDESTE,2005-02-13,6018.10833333
S,SUL,2005-02-13,6323.02500081
SE,SUDESTE,2005-02-13,24242.30374919
N,NORTE,2005-02-14,3048.44583333
NE,NORDESTE,2005-02-14,6805.25375000
S,SUL,2005-02-14,8245.76916728
SE,SUDESTE,2005-02-14,28954.21624939
N,NORTE,2005-02-15,3085.23333333
NE,NORDESTE,2005-02-15,6803.65083333
S,SUL,2005-02-15,8468.57791677
SE,SUDESTE,2005-02-15,29689.16958323
N,NORTE,2005-02-16,3030.91250000
NE,NORDESTE,2005-02-16,6742.87583333
S,SUL,2005-02-16,8635.97208043
SE,SUDESTE,2005-02-16,30046.16666957
N,NORTE,2005-02-17,3013.51250000
NE,NORDESTE,2005-02-17,6690.64208333
