id_subsistema,nom_subsistema,din_instante,val_cargaenergiamwmed
N,NORTE,2011-01-01,3567.54958333
NE,NORDESTE,2011-01-01,6701.94916667
S,SUL,2011-01-01,6546.68708333
SE,SUDESTE,2011-01-01,25544.96916667
N,NORTE,2011-01-02,3580.59666667
NE,NORDESTE,2011-01-02,6838.83708333
S,SUL,2011-01-02,6836.00625000
SE,SUDESTE,2011-01-02,27087.38416667
N,NORTE,2011-01-03,3831.32791667
NE,NORDESTE,2011-01-03,8032.43125000
S,SUL,2011-01-03,8853.71416667
SE,SUDESTE,2011-01-03,32500.19125000
N,NORTE,2011-01-04,3814.23125000
NE,NORDESTE,2011-01-04,8190.46000000
S,SUL,2011-01-04,9703.39166667
SE,SUDESTE,2011-01-04,34032.16666667
N,NORTE,2011-01-05,3835.73000000
NE,NORDESTE,2011-01-05,8126.20833333
S,SUL,2011-01-05,10214.59916667
SE,SUDESTE,2011-01-05,35014.43833333
N,NORTE,2011-01-06,3865.72625000
NE,NORDESTE,2011-01-06,8159.12541667
S,SUL,2011-01-06,10376.04000000
SE,SUDESTE,2011-01-06,35399.27208333
N,NORTE,2011-01-07,3857.17458333
NE,NORDESTE,2011-01-07,8186.92500000
S,SUL,2011-01-07,10449.89416667
SE,SUDESTE,2011-01-07,35552.72083333
N,NORTE,2011-01-08,3650.05708333
NE,NORDESTE,2011-01-08,7849.66000000
S,SUL,2011-01-08,9376.96500000
SE,SUDESTE,2011-01-08,33151.20791667
N,NORTE,2011-01-09,3619.31791667
NE,NORDESTE,2011-01-09,7255.38041667
S,SUL,2011-01-09,8075.47083333
SE,SUDESTE,2011-01-09,30222.76375000
N,NORTE,2011-01-10,3861.00291667
NE,NORDESTE,2011-01-10,8101.22000000
S,SUL,2011-01-10,10427.13833333
SE,SUDESTE,2011-01-10,36305.08666667
N,NORTE,2011-01-11,3911.26000000
NE,NORDESTE,2011-01-11,8284.38750000
S,SUL,2011-01-11,10445.96916667
SE,SUDESTE,2011-01-11,36767.15083333
N,NORTE,2011-01-12,3929.52041667
NE,NORDESTE,2011-01-12,8289.76333333
S,SUL,2011-01-12,10417.08708333
SE,SUDESTE,2011-01-12,36721.55791667
N,NORTE,2011-01-13,3931.21625000
