id_subsistema,nom_subsistema,din_instante,val_cargaenergiamwmed
N,NORTE,2017-01-01,4639.80583333
NE,NORDESTE,2017-01-01,8634.61512500
S,SUL,2017-01-01,8573.99591667
SE,SUDESTE,2017-01-01,31766.66541667
N,NORTE,2017-01-02,5014.47933333
NE,NORDESTE,2017-01-02,10103.16820833
S,SUL,2017-01-02,10797.92529167
SE,SUDESTE,2017-01-02,38180.87170833
N,NORTE,2017-01-03,5117.39387500
NE,NORDESTE,2017-01-03,10690.63341667
S,SUL,2017-01-03,11899.29954167
SE,SUDESTE,2017-01-03,40269.48104167
N,NORTE,2017-01-04,5169.67908333
NE,NORDESTE,2017-01-04,10804.62370833
S,SUL,2017-01-04,12020.90312500
SE,SUDESTE,2017-01-04,40233.04870833
N,NORTE,2017-01-05,5145.07891667
NE,NORDESTE,2017-01-05,10759.26408333
S,SUL,2017-01-05,11754.75625000
SE,SUDESTE,2017-01-05,41149.54804167
N,NORTE,2017-01-06,5235.89100000
NE,NORDESTE,2017-01-06,10645.23562500
S,SUL,2017-01-06,11395.11137500
SE,SUDESTE,2017-01-06,41225.25558333
N,NORTE,2017-01-07,5107.08408333
NE,NORDESTE,2017-01-07,10107.50054167
S,SUL,2017-01-07,10247.13016667
SE,SUDESTE,2017-01-07,38586.61391667
N,NORTE,2017-01-08,4757.78287500
NE,NORDESTE,2017-01-08,9380.08916667
S,SUL,2017-01-08,9631.76137500
SE,SUDESTE,2017-01-08,35566.47829167
N,NORTE,2017-01-09,5025.61195833
NE,NORDESTE,2017-01-09,10667.25712500
S,SUL,2017-01-09,12373.45825000
SE,SUDESTE,2017-01-09,42120.39412500
N,NORTE,2017-01-10,5235.73470833
NE,NORDESTE,2017-01-10,10933.38583333
S,SUL,2017-01-10,12609.50025000
SE,SUDESTE,2017-01-10,42831.93625000
N,NORTE,2017-01-11,5155.35170833
NE,NORDESTE,2017-01-11,10872.43908333
S,SUL,2017-01-11,12668.29420833
SE,SUDESTE,2017-01-11,42585.13970833
N,NORTE,2017-01-12,5188.70345833
NE,NORDESTE,2017-01-12,10942.40137500
S,SUL,2017-01-12,12676.36112500
SE,SUDESTE,2017-01-12,41274.29258333
N,NORTE,2017-01-13,5081.83304167
NE,NORDESTE,2017-01-13,10877.10187500
S,SUL,2017-01-13,12875.65291667
SE,SUDESTE,2017-01-13,39861.18183333
N,NORTE,2017-01-14,4830.14416667
NE,NORDESTE,2017-01-14,10444.03954167
S,SUL,2017-01-14,11510.31400000
SE,SUDESTE,2017-01-14,36651.71358333
N,NORTE,2017-01-15,4669.26725000
NE,NORDESTE,2017-01-15,9626.90875000
S,SUL,2017-01-15,10367.07933333
SE,SUDESTE,2017-01-15,33807.99575000
N,NORTE,2017-01-16,5146.26920833
NE,NORDESTE,2017-01-16,10709.17054167
S,SUL,2017-01-16,13219.74141667
SE,SUDESTE,2017-01-16,39868.52812500
N,NORTE,2017-01-17,5149.41250000
NE,NORDESTE,2017-01-17,10743.01258333
S,SUL,2017-01-17,13117.79600000
SE,SUDESTE,2017-01-17,39933.61879167
N,NORTE,2017-01-18,4959.74816667
NE,NORDESTE,2017-01-18,10954.94441667
S,SUL,2017-01-18,13391.40945833
SE,SUDESTE,2017-01-18,40361.70404167
N,NORTE,2017-01-19,4988.99187500
NE,NORDESTE,2017-01-19,10957.39908333
S,SUL,2017-01-19,13236.46412500
SE,SUDESTE,2017-01-19,40001.64462500
N,NORTE,2017-01-20,5323.55266667
NE,NORDESTE,2017-01-20,10948.49508333
S,SUL,2017-01-20,12910.17733333
SE,SUDESTE,2017-01-20,38650.17725000
N,NORTE,2017-01-21,5081.52833333
NE,NORDESTE,2017-01-21,10343.17562500
S,SUL,2017-01-21,11212.24345833
SE,SUDESTE,2017-01-21,35928.29937500
N,NORTE,2017-01-22,4669.77937500
NE,NORDESTE,2017-01-22,9593.84587500
S,SUL,2017-01-22,9983.53350000
SE,SUDESTE,2017-01-22,32168.66204167
N,NORTE,2017-01-23,5117.21087500
NE,NORDESTE,2017-01-23,10709.25545833
S,SUL,2017-01-23,12954.14445833
SE,SUDESTE,2017-01-23,38607.21245833
N,NORTE,2017-01-24,5201.77741667
NE,NORDESTE,2017-01-24,10824.01862500
S,SUL,2017-01-24,13520.99137500
SE,SUDESTE,2017-01-24,40501.99283333
N,NORTE,2017-01-25,5237.68233333
NE,NORDESTE,2017-01-25,10980.79266667
S,SUL,2017-01-25,13181.33879167
SE,SUDESTE,2017-01-25,40291.51575000
N,NORTE,2017-01-26,5415.29608333
NE,NORDESTE,2017-01-26,10942.70929167
S,SUL,2017-01-26,12600.65645833
SE,SUDESTE,2017-01-26,41052.21316667
N,NORTE,2017-01-27,5348.77191667
NE,NORDESTE,2017-01-27,10980.05250000
S,SUL,2017-01-27,12203.22079167
SE,SUDESTE,2017-01-27,40698.46879167
N,NORTE,2017-01-28,4971.27062500
NE,NORDESTE,2017-01-28,10206.34962500
S,SUL,2017-01-28,10722.50900417
SE,SUDESTE,2017-01-28,37474.02900000
N,NORTE,2017-01-29,4786.76320833
NE,NORDESTE,2017-01-29,9445.18704167
S,SUL,2017-01-29,9690.95437500
SE,SUDESTE,2017-01-29,34309.84187500
N,NORTE,2017-01-30,5329.42662500
NE,NORDESTE,2017-01-30,10786.14683333
S,SUL,2017-01-30,12747.27458333
SE,SUDESTE,2017-01-30,41023.57650000
N,NORTE,2017-01-31,5297.55354167
NE,NORDESTE,2017-01-31,10957.90650000
S,SUL,2017-01-31,12826.55708333
SE,SUDESTE,2017-01-31,41317.78841667
N,NORTE,2017-02-01,5191.72787500
NE,NORDESTE,2017-02-01,11156.53862500
S,SUL,2017-02-01,12669.29087500
SE,SUDESTE,2017-02-01,41086.38204167
N,NORTE,2017-02-02,5293.59775000
NE,NORDESTE,2017-02-02,11123.91120833
S,SUL,2017-02-02,12712.47241667
SE,SUDESTE,2017-02-02,41117.14120833
N,NORTE,2017-02-03,5280.34412500
NE,NORDESTE,2017-02-03,11080.39858333
S,SUL,2017-02-03,13066.19008333
SE,SUDESTE,2017-02-03,40726.95320833
N,NORTE,2017-02-04,5185.77333333
NE,NORDESTE,2017-02-04,10439.33625000
S,SUL,2017-02-04,11729.63925000
SE,SUDESTE,2017-02-04,37417.41625000
N,NORTE,2017-02-05,4958.97754167
NE,NORDESTE,2017-02-05,9654.99520833
S,SUL,2017-02-05,10317.92108333
SE,SUDESTE,2017-02-05,34164.43395833
N,NORTE,2017-02-06,5441.40629167
NE,NORDESTE,2017-02-06,11010.43510758
S,SUL,2017-02-06,12900.66758333
SE,SUDESTE,2017-02-06,40758.35762500
N,NORTE,2017-02-07,5473.48345833
NE,NORDESTE,2017-02-07,11249.06337500
S,SUL,2017-02-07,12974.20250000
SE,SUDESTE,2017-02-07,41370.50487500
N,NORTE,2017-02-08,5410.86258333
NE,NORDESTE,2017-02-08,11263.79179167
S,SUL,2017-02-08,13045.01900000
SE,SUDESTE,2017-02-08,41323.92487500
N,NORTE,2017-02-09,5319.93137500
NE,NORDESTE,2017-02-09,11209.60375000
S,SUL,2017-02-09,13227.64100000
SE,SUDESTE,2017-02-09,40743.17487500
N,NORTE,2017-02-10,5325.70279167
NE,NORDESTE,2017-02-10,10975.22658333
S,SUL,2017-02-10,13227.52420833
SE,SUDESTE,2017-02-10,40954.95845833
N,NORTE,2017-02-11,5112.44954167
NE,NORDESTE,2017-02-11,10205.75025000
S,SUL,2017-02-11,11240.42354167
SE,SUDESTE,2017-02-11,37884.99016667
N,NORTE,2017-02-12,4853.26775000
NE,NORDESTE,2017-02-12,9225.69829167
S,SUL,2017-02-12,9604.95308333
SE,SUDESTE,2017-02-12,34464.66650000
N,NORTE,2017-02-13,5202.85229167
NE,NORDESTE,2017-02-13,10396.03337500
S,SUL,2017-02-13,12513.91341667
SE,SUDESTE,2017-02-13,41531.89625000
N,NORTE,2017-02-14,5159.49283333
NE,NORDESTE,2017-02-14,10602.63345833
S,SUL,2017-02-14,12799.65695833
SE,SUDESTE,2017-02-14,42425.27125000
N,NORTE,2017-02-15,5080.71604167
NE,NORDESTE,2017-02-15,10673.43775000
S,SUL,2017-02-15,13450.94333333
SE,SUDESTE,2017-02-15,42886.26887500
N,NORTE,2017-02-16,5103.43854167
NE,NORDESTE,2017-02-16,10877.69845833
S,SUL,2017-02-16,13881.03700000
SE,SUDESTE,2017-02-16,43157.22241667
N,NORTE,2017-02-17,5186.52150000
NE,NORDESTE,2017-02-17,11046.38925000
S,SUL,2017-02-17,13309.80720833
SE,SUDESTE,2017-02-17,43224.96545833
N,NORTE,2017-02-18,5120.94995833
NE,NORDESTE,2017-02-18,10442.91333333
S,SUL,2017-02-18,11919.61812500
SE,SUDESTE,2017-02-18,39806.81958333
N,NORTE,2017-02-19,4845.26412500
NE,NORDESTE,2017-02-19,9616.31658333
S,SUL,2017-02-19,10821.48616667
SE,SUDESTE,2017-02-19,36359.17566667
N,NORTE,2017-02-20,5317.31425000
NE,NORDESTE,2017-02-20,10698.92441667
S,SUL,2017-02-20,14095.77925000
SE,SUDESTE,2017-02-20,43453.83004167
N,NORTE,2017-02-21,5322.87458333
NE,NORDESTE,2017-02-21,10635.97208333
S,SUL,2017-02-21,14332.24604167
SE,SUDESTE,2017-02-21,43801.03508333
N,NORTE,2017-02-22,5374.58512500
NE,NORDESTE,2017-02-22,10663.33787500
S,SUL,2017-02-22,14291.20558333
SE,SUDESTE,2017-02-22,43762.01466667
N,NORTE,2017-02-23,5436.96195833
NE,NORDESTE,2017-02-23,10896.49420833
S,SUL,2017-02-23,13734.51249583
SE,SUDESTE,2017-02-23,44232.43641667
N,NORTE,2017-02-24,5361.91683333
NE,NORDESTE,2017-02-24,10949.40383333
S,SUL,2017-02-24,13401.55175000
SE,SUDESTE,2017-02-24,43244.69995833
N,NORTE,2017-02-25,4965.38308333
NE,NORDESTE,2017-02-25,10260.46600000
S,SUL,2017-02-25,11491.91866667
SE,SUDESTE,2017-02-25,37314.19487500
N,NORTE,2017-02-26,4676.22762500
NE,NORDESTE,2017-02-26,9518.71950000
S,SUL,2017-02-26,10037.90391667
SE,SUDESTE,2017-02-26,33390.79337500
N,NORTE,2017-02-27,4873.59212500
NE,NORDESTE,2017-02-27,9580.73200000
S,SUL,2017-02-27,11899.57358333
SE,SUDESTE,2017-02-27,35555.85950000
N,NORTE,2017-02-28,4753.64362500
NE,NORDESTE,2017-02-28,9531.71633333
S,SUL,2017-02-28,12134.04091667
SE,SUDESTE,2017-02-28,35607.39204167
N,NORTE,2017-03-01,5067.59487500
NE,NORDESTE,2017-03-01,10211.31745833
S,SUL,2017-03-01,13274.21466667
SE,SUDESTE,2017-03-01,39929.50404167
N,NORTE,2017-03-02,5366.22800000
NE,NORDESTE,2017-03-02,10801.88895833
S,SUL,2017-03-02,13679.25608333
SE,SUDESTE,2017-03-02,42162.81470833
N,NORTE,2017-03-03,5457.36041667
NE,NORDESTE,2017-03-03,10741.40970833
S,SUL,2017-03-03,13644.52733333
SE,SUDESTE,2017-03-03,41699.09229167
N,NORTE,2017-03-04,5343.14000000
NE,NORDESTE,2017-03-04,10218.34537500
S,SUL,2017-03-04,11240.26791667
SE,SUDESTE,2017-03-04,38246.96404167
N,NORTE,2017-03-05,5239.75720833
NE,NORDESTE,2017-03-05,9679.95275000
S,SUL,2017-03-05,9547.21475000
SE,SUDESTE,2017-03-05,35450.81329167
N,NORTE,2017-03-06,5558.94450000
NE,NORDESTE,2017-03-06,10934.19850000
S,SUL,2017-03-06,12508.59983333
SE,SUDESTE,2017-03-06,41617.21550000
N,NORTE,2017-03-07,5595.40870833
NE,NORDESTE,2017-03-07,11199.95325000
S,SUL,2017-03-07,13219.27108333
SE,SUDESTE,2017-03-07,42333.91108333
N,NORTE,2017-03-08,5544.67658333
NE,NORDESTE,2017-03-08,11297.94775000
S,SUL,2017-03-08,13477.67741667
SE,SUDESTE,2017-03-08,42290.82404167
N,NORTE,2017-03-09,5519.41287500
NE,NORDESTE,2017-03-09,11185.78095833
S,SUL,2017-03-09,13725.96300000
SE,SUDESTE,2017-03-09,42640.60420833
N,NORTE,2017-03-10,5486.16770833
NE,NORDESTE,2017-03-10,11029.41220833
S,SUL,2017-03-10,12931.97433333
SE,SUDESTE,2017-03-10,43479.51729167
N,NORTE,2017-03-11,5253.51212500
NE,NORDESTE,2017-03-11,10562.93570833
S,SUL,2017-03-11,10730.63420833
SE,SUDESTE,2017-03-11,39557.73441667
N,NORTE,2017-03-12,4953.40583333
NE,NORDESTE,2017-03-12,9773.13066667
S,SUL,2017-03-12,9204.05658333
SE,SUDESTE,2017-03-12,36369.67620833
N,NORTE,2017-03-13,5454.04587500
NE,NORDESTE,2017-03-13,10859.85383333
S,SUL,2017-03-13,11339.21600000
SE,SUDESTE,2017-03-13,42437.10400000
N,NORTE,2017-03-14,5478.37400000
NE,NORDESTE,2017-03-14,11011.64904167
S,SUL,2017-03-14,11932.39879167
SE,SUDESTE,2017-03-14,42045.49845833
N,NORTE,2017-03-15,5359.44729167
NE,NORDESTE,2017-03-15,11013.34858333
S,SUL,2017-03-15,12667.21795833
SE,SUDESTE,2017-03-15,41738.89025000
N,NORTE,2017-03-16,5248.30791667
NE,NORDESTE,2017-03-16,11010.95975000
S,SUL,2017-03-16,12513.24037500
SE,SUDESTE,2017-03-16,42530.11179167
N,NORTE,2017-03-17,5405.21420833
NE,NORDESTE,2017-03-17,10856.46412500
S,SUL,2017-03-17,11444.89737500
SE,SUDESTE,2017-03-17,42779.01154167
N,NORTE,2017-03-18,5143.75108333
NE,NORDESTE,2017-03-18,10278.77395833
S,SUL,2017-03-18,9548.77458333
SE,SUDESTE,2017-03-18,37272.40787500
N,NORTE,2017-03-19,4833.70700000
NE,NORDESTE,2017-03-19,9649.70487500
S,SUL,2017-03-19,8316.54462500
SE,SUDESTE,2017-03-19,32015.88195833
