id_subsistema,nom_subsistema,din_instante,val_cargaenergiamwmed
N,NORTE,2004-01-01,2708.29583333
NE,NORDESTE,2004-01-01,5282.91333333
S,SUL,2004-01-01,4676.75958445
SE,SUDESTE,2004-01-01,20821.45416555
N,NORTE,2004-01-02,2799.34583333
NE,NORDESTE,2004-01-02,5975.41916667
S,SUL,2004-01-02,5660.61291570
SE,SUDESTE,2004-01-02,23115.64791763
N,NORTE,2004-01-03,2797.26666667
NE,NORDESTE,2004-01-03,5979.94666667
S,SUL,2004-01-03,5713.90749888
SE,SUDESTE,2004-01-03,22504.26625112
N,NORTE,2004-01-04,2721.77916667
NE,NORDESTE,2004-01-04,5664.68708333
S,SUL,2004-01-04,5353.28667048
SE,SUDESTE,2004-01-04,21336.84999619
N,NORTE,2004-01-05,2899.55416667
NE,NORDESTE,2004-01-05,6330.04916667
S,SUL,2004-01-05,7008.54833598
SE,SUDESTE,2004-01-05,25608.36583069
N,NORTE,2004-01-06,2899.02083333
NE,NORDESTE,2004-01-06,6352.93791667
S,SUL,2004-01-06,7453.86625031
SE,SUDESTE,2004-01-06,26913.74708303
N,NORTE,2004-01-07,2943.70000000
NE,NORDESTE,2004-01-07,6386.32291667
S,SUL,2004-01-07,7746.03333211
SE,SUDESTE,2004-01-07,27232.48041789
N,NORTE,2004-01-08,2940.61666667
NE,NORDESTE,2004-01-08,6603.95916667
S,SUL,2004-01-08,7817.45624969
SE,SUDESTE,2004-01-08,27420.76125031
N,NORTE,2004-01-09,2989.79166667
NE,NORDESTE,2004-01-09,6604.38375000
S,SUL,2004-01-09,7889.39208674
SE,SUDESTE,2004-01-09,27326.23166326
N,NORTE,2004-01-10,2897.27916667
NE,NORDESTE,2004-01-10,6214.84000000
S,SUL,2004-01-10,6963.36958054
SE,SUDESTE,2004-01-10,25080.10250280
N,NORTE,2004-01-11,2795.56666667
NE,NORDESTE,2004-01-11,5729.40791667
S,SUL,2004-01-11,5848.46833125
SE,SUDESTE,2004-01-11,22946.42500209
N,NORTE,2004-01-12,2936.47500000
NE,NORDESTE,2004-01-12,6276.24083333
S,SUL,2004-01-12,7444.87750132
SE,SUDESTE,2004-01-12,27445.73416534
N,NORTE,2004-01-13,2966.20416667
NE,NORDESTE,2004-01-13,6376.68166667
S,SUL,2004-01-13,7737.36333394
SE,SUDESTE,2004-01-13,27889.75291606
N,NORTE,2004-01-14,2936.90416667
NE,NORDESTE,2004-01-14,6281.17112500
S,SUL,2004-01-14,7793.47333110
SE,SUDESTE,2004-01-14,28126.22125224
N,NORTE,2004-01-15,2933.55000000
NE,NORDESTE,2004-01-15,6087.13212500
S,SUL,2004-01-15,7906.98791489
SE,SUDESTE,2004-01-15,28451.18916845
N,NORTE,2004-01-16,2960.38750000
NE,NORDESTE,2004-01-16,6200.27041667
S,SUL,2004-01-16,7896.29875051
SE,SUDESTE,2004-01-16,28053.45416616
N,NORTE,2004-01-17,2852.43750000
NE,NORDESTE,2004-01-17,5870.61458333
S,SUL,2004-01-17,6935.01041550
SE,SUDESTE,2004-01-17,25231.30958450
N,NORTE,2004-01-18,2722.17916667
NE,NORDESTE,2004-01-18,5408.28666667
S,SUL,2004-01-18,5866.24292109
SE,SUDESTE,2004-01-18,22588.79666224
N,NORTE,2004-01-19,2900.33333333
NE,NORDESTE,2004-01-19,5847.12250000
S,SUL,2004-01-19,7623.57083440
SE,SUDESTE,2004-01-19,26765.65291560
N,NORTE,2004-01-20,2941.87083333
NE,NORDESTE,2004-01-20,5957.87666667
S,SUL,2004-01-20,7846.87208710
SE,SUDESTE,2004-01-20,27245.26291290
N,NORTE,2004-01-21,2894.19583333
NE,NORDESTE,2004-01-21,5962.19750000
S,SUL,2004-01-21,7916.60583267
SE,SUDESTE,2004-01-21,27943.60375066
N,NORTE,2004-01-22,2929.27500000
NE,NORDESTE,2004-01-22,5999.11333333
S,SUL,2004-01-22,8007.61083349
SE,SUDESTE,2004-01-22,27939.93749985
N,NORTE,2004-01-23,2896.92083333
NE,NORDESTE,2004-01-23,6045.60166667
S,SUL,2004-01-23,8056.52749939
SE,SUDESTE,2004-01-23,28189.93250061
N,NORTE,2004-01-24,2712.98750000
NE,NORDESTE,2004-01-24,5746.23083333
S,SUL,2004-01-24,7050.23875173
SE,SUDESTE,2004-01-24,26043.79291494
N,NORTE,2004-01-25,2676.61250000
NE,NORDESTE,2004-01-25,5317.69750000
S,SUL,2004-01-25,5833.36958354
SE,SUDESTE,2004-01-25,23551.56291646
N,NORTE,2004-01-26,2896.04583333
NE,NORDESTE,2004-01-26,5928.10291667
S,SUL,2004-01-26,7736.97125183
SE,SUDESTE,2004-01-26,27800.13208150
