id_subsistema,nom_subsistema,din_instante,val_cargaenergiamwmed
N,NORTE,2002-01-01,1940.96250000
NE,NORDESTE,2002-01-01,4099.73208333
S,SUL,2002-01-01,4634.74208018
SE,SUDESTE,2002-01-01,16802.18250315
N,NORTE,2002-01-02,2098.64583333
NE,NORDESTE,2002-01-02,4693.67208333
S,SUL,2002-01-02,6193.06041654
SE,SUDESTE,2002-01-02,21247.46583346
N,NORTE,2002-01-03,2143.12500000
NE,NORDESTE,2002-01-03,4883.13833333
S,SUL,2002-01-03,6610.97083384
SE,SUDESTE,2002-01-03,22630.83499949
N,NORTE,2002-01-04,2180.56666667
NE,NORDESTE,2002-01-04,5114.08583333
S,SUL,2002-01-04,6691.91875127
SE,SUDESTE,2002-01-04,22799.13166540
N,NORTE,2002-01-05,2188.22500000
NE,NORDESTE,2002-01-05,4915.75291667
S,SUL,2002-01-05,6059.41333415
SE,SUDESTE,2002-01-05,21167.08791585
N,NORTE,2002-01-06,2054.09583333
NE,NORDESTE,2002-01-06,4463.85083333
S,SUL,2002-01-06,5195.28375041
SE,SUDESTE,2002-01-06,19504.21124959
N,NORTE,2002-01-07,2142.98333333
NE,NORDESTE,2002-01-07,4766.48750000
S,SUL,2002-01-07,6756.82041448
SE,SUDESTE,2002-01-07,23189.08833552
N,NORTE,2002-01-08,2160.62083333
NE,NORDESTE,2002-01-08,4939.23000000
S,SUL,2002-01-08,7097.06499964
SE,SUDESTE,2002-01-08,24262.07750036
N,NORTE,2002-01-09,2154.94166667
NE,NORDESTE,2002-01-09,4965.32541667
S,SUL,2002-01-09,7205.25833537
SE,SUDESTE,2002-01-09,24002.79374797
N,NORTE,2002-01-10,2008.60416667
NE,NORDESTE,2002-01-10,4976.02916667
S,SUL,2002-01-10,7146.73916779
SE,SUDESTE,2002-01-10,23926.34749888
N,NORTE,2002-01-11,2153.03750000
NE,NORDESTE,2002-01-11,4986.37125000
S,SUL,2002-01-11,7136.77124939
SE,SUDESTE,2002-01-11,23835.96166728
N,NORTE,2002-01-12,2161.55000000
