id_subsistema,nom_subsistema,din_instante,val_cargaenergiamwmed
N,NORTE,2006-01-01,3019.30666667
NE,NORDESTE,2006-01-01,5675.84166667
S,SUL,2006-01-01,5486.40250000
SE,SUDESTE,2006-01-01,22164.03083333
N,NORTE,2006-01-02,3162.97666667
NE,NORDESTE,2006-01-02,6608.60833333
S,SUL,2006-01-02,7176.73291667
SE,SUDESTE,2006-01-02,26988.46666667
N,NORTE,2006-01-03,3234.30708333
NE,NORDESTE,2006-01-03,6989.05666667
S,SUL,2006-01-03,7852.10458333
SE,SUDESTE,2006-01-03,28823.38250000
N,NORTE,2006-01-04,3258.38791667
NE,NORDESTE,2006-01-04,7022.49125000
S,SUL,2006-01-04,8052.52666667
SE,SUDESTE,2006-01-04,29150.64041667
N,NORTE,2006-01-05,3211.82291667
NE,NORDESTE,2006-01-05,7005.42583333
S,SUL,2006-01-05,8185.90000000
SE,SUDESTE,2006-01-05,28719.34250000
N,NORTE,2006-01-06,3186.17458333
NE,NORDESTE,2006-01-06,7005.53791667
S,SUL,2006-01-06,8294.37500000
SE,SUDESTE,2006-01-06,28870.59583333
N,NORTE,2006-01-07,3130.27375000
NE,NORDESTE,2006-01-07,6745.38166667
S,SUL,2006-01-07,7653.53416667
SE,SUDESTE,2006-01-07,26724.58708333
N,NORTE,2006-01-08,3035.41208333
NE,NORDESTE,2006-01-08,6200.76041667
S,SUL,2006-01-08,6781.72708333
SE,SUDESTE,2006-01-08,24513.19500000
N,NORTE,2006-01-09,3179.15666667
NE,NORDESTE,2006-01-09,7004.62166667
S,SUL,2006-01-09,8718.43791667
SE,SUDESTE,2006-01-09,29522.45250000
N,NORTE,2006-01-10,3186.20083333
NE,NORDESTE,2006-01-10,7048.99250000
S,SUL,2006-01-10,9099.38875000
SE,SUDESTE,2006-01-10,30546.36000000
N,NORTE,2006-01-11,3235.81375000
NE,NORDESTE,2006-01-11,7111.12416667
S,SUL,2006-01-11,9176.79500000
SE,SUDESTE,2006-01-11,30922.09500000
N,NORTE,2006-01-12,3247.70125000
NE,NORDESTE,2006-01-12,7166.29500000
S,SUL,2006-01-12,9154.47208333
SE,SUDESTE,2006-01-12,30914.03125000
N,NORTE,2006-01-13,3293.43166667
NE,NORDESTE,2006-01-13,7203.51125000
S,SUL,2006-01-13,9070.03750000
SE,SUDESTE,2006-01-13,31045.86041667
N,NORTE,2006-01-14,3180.84208333
NE,NORDESTE,2006-01-14,6800.51166667
S,SUL,2006-01-14,7914.06666667
SE,SUDESTE,2006-01-14,28553.47916667
N,NORTE,2006-01-15,3089.17833333
NE,NORDESTE,2006-01-15,6207.43375000
S,SUL,2006-01-15,6954.38208333
SE,SUDESTE,2006-01-15,25688.03166667
N,NORTE,2006-01-16,3306.23958333
NE,NORDESTE,2006-01-16,6987.21916667
S,SUL,2006-01-16,8975.74625000
SE,SUDESTE,2006-01-16,30938.54041667
N,NORTE,2006-01-17,3273.96583333
NE,NORDESTE,2006-01-17,7193.34125000
S,SUL,2006-01-17,8911.53666667
SE,SUDESTE,2006-01-17,31751.05750000
N,NORTE,2006-01-18,3297.73541667
NE,NORDESTE,2006-01-18,7231.60166667
S,SUL,2006-01-18,8521.11083333
SE,SUDESTE,2006-01-18,31790.62666667
N,NORTE,2006-01-19,3304.35875000
NE,NORDESTE,2006-01-19,7165.61291667
S,SUL,2006-01-19,8581.86416667
SE,SUDESTE,2006-01-19,31734.11416667
N,NORTE,2006-01-20,3273.06166667
NE,NORDESTE,2006-01-20,7107.40500000
S,SUL,2006-01-20,8681.08083333
SE,SUDESTE,2006-01-20,31293.01333333
N,NORTE,2006-01-21,3176.05958333
NE,NORDESTE,2006-01-21,6811.05583333
S,SUL,2006-01-21,7652.15208333
SE,SUDESTE,2006-01-21,29053.29750000
N,NORTE,2006-01-22,3119.51916667
NE,NORDESTE,2006-01-22,6197.16708333
S,SUL,2006-01-22,6465.31791667
SE,SUDESTE,2006-01-22,26435.41250000
N,NORTE,2006-01-23,3356.70166667
NE,NORDESTE,2006-01-23,6993.14916667
S,SUL,2006-01-23,8265.63291667
SE,SUDESTE,2006-01-23,31871.14000000
N,NORTE,2006-01-24,3351.64875000
NE,NORDESTE,2006-01-24,7234.67208333
S,SUL,2006-01-24,8528.35416667
SE,SUDESTE,2006-01-24,32261.68958333
N,NORTE,2006-01-25,3349.98250000
NE,NORDESTE,2006-01-25,7336.53708333
S,SUL,2006-01-25,8556.89750000
SE,SUDESTE,2006-01-25,31981.35708333
N,NORTE,2006-01-26,3385.33791667
NE,NORDESTE,2006-01-26,7401.15916667
S,SUL,2006-01-26,8558.53583333
SE,SUDESTE,2006-01-26,32500.40583333
N,NORTE,2006-01-27,3378.14666667
NE,NORDESTE,2006-01-27,7510.20083333
S,SUL,2006-01-27,8620.84458333
SE,SUDESTE,2006-01-27,32072.22166667
N,NORTE,2006-01-28,3295.64333333
NE,NORDESTE,2006-01-28,7049.55500000
S,SUL,2006-01-28,7620.86375000
SE,SUDESTE,2006-01-28,28507.73666667
N,NORTE,2006-01-29,3166.94958333
NE,NORDESTE,2006-01-29,6391.88583333
S,SUL,2006-01-29,6520.29041667
SE,SUDESTE,2006-01-29,25472.60750000
N,NORTE,2006-01-30,3393.71000000
NE,NORDESTE,2006-01-30,7191.11125000
S,SUL,2006-01-30,8639.00625000
SE,SUDESTE,2006-01-30,30007.31625000
N,NORTE,2006-01-31,3421.88375000
NE,NORDESTE,2006-01-31,7311.19708333
S,SUL,2006-01-31,8908.95750000
SE,SUDESTE,2006-01-31,30895.93208333
N,NORTE,2006-02-01,3378.55083333
NE,NORDESTE,2006-02-01,7271.17208333
S,SUL,2006-02-01,8890.67083333
SE,SUDESTE,2006-02-01,30678.05958333
N,NORTE,2006-02-02,3416.38041667
NE,NORDESTE,2006-02-02,7225.47500000
S,SUL,2006-02-02,8878.14554167
SE,SUDESTE,2006-02-02,30969.92925000
N,NORTE,2006-02-03,3398.99458333
NE,NORDESTE,2006-02-03,7293.24583333
S,SUL,2006-02-03,9209.47416667
SE,SUDESTE,2006-02-03,31297.35266667
N,NORTE,2006-02-04,3284.38625000
NE,NORDESTE,2006-02-04,6923.51541667
S,SUL,2006-02-04,8185.93262500
SE,SUDESTE,2006-02-04,28914.85625000
N,NORTE,2006-02-05,3171.89916667
NE,NORDESTE,2006-02-05,6365.75458333
S,SUL,2006-02-05,6949.59700000
SE,SUDESTE,2006-02-05,26271.61879167
N,NORTE,2006-02-06,3323.54250000
NE,NORDESTE,2006-02-06,7187.10916667
S,SUL,2006-02-06,8855.06579167
SE,SUDESTE,2006-02-06,31930.21375000
N,NORTE,2006-02-07,3358.56666667
NE,NORDESTE,2006-02-07,7321.77916667
S,SUL,2006-02-07,8849.18437500
SE,SUDESTE,2006-02-07,32832.29720833
N,NORTE,2006-02-08,3365.42291667
NE,NORDESTE,2006-02-08,7396.28291667
S,SUL,2006-02-08,8833.35750000
SE,SUDESTE,2006-02-08,32879.37754167
N,NORTE,2006-02-09,3440.05916667
NE,NORDESTE,2006-02-09,7445.33166667
S,SUL,2006-02-09,8827.09125000
SE,SUDESTE,2006-02-09,32393.35054167
N,NORTE,2006-02-10,3422.43708333
NE,NORDESTE,2006-02-10,7413.55125000
S,SUL,2006-02-10,8647.86887500
SE,SUDESTE,2006-02-10,32170.62962500
N,NORTE,2006-02-11,3253.17541667
NE,NORDESTE,2006-02-11,6994.74000000
S,SUL,2006-02-11,7484.30875000
SE,SUDESTE,2006-02-11,28426.45279167
N,NORTE,2006-02-12,3151.20875000
NE,NORDESTE,2006-02-12,6394.73791667
S,SUL,2006-02-12,6431.51875000
SE,SUDESTE,2006-02-12,25156.22020833
N,NORTE,2006-02-13,3328.28791667
NE,NORDESTE,2006-02-13,7206.77208333
S,SUL,2006-02-13,8565.68375000
SE,SUDESTE,2006-02-13,30113.36458333
N,NORTE,2006-02-14,3284.33958333
NE,NORDESTE,2006-02-14,7370.62250000
S,SUL,2006-02-14,8925.02712500
SE,SUDESTE,2006-02-14,31355.28725000
N,NORTE,2006-02-15,3400.33375000
NE,NORDESTE,2006-02-15,7281.86333333
S,SUL,2006-02-15,8981.26487500
SE,SUDESTE,2006-02-15,31558.98875000
N,NORTE,2006-02-16,3374.70375000
NE,NORDESTE,2006-02-16,7222.05666667
S,SUL,2006-02-16,8882.68920833
SE,SUDESTE,2006-02-16,31284.67291667
N,NORTE,2006-02-17,3345.67916667
NE,NORDESTE,2006-02-17,7225.65583333
S,SUL,2006-02-17,8884.26000000
SE,SUDESTE,2006-02-17,31753.73833333
N,NORTE,2006-02-18,3244.14458333
NE,NORDESTE,2006-02-18,6852.53666667
S,SUL,2006-02-18,7872.03666667
