id_subsistema,nom_subsistema,din_instante,val_cargaenergiamwmed
N,NORTE,2001-01-01,2376.73125000
NE,NORDESTE,2001-01-01,5035.81666667
S,SUL,2001-01-01,4925.37375000
SE,SUDESTE,2001-01-01,19729.23333333
N,NORTE,2001-01-02,2537.38333333
NE,NORDESTE,2001-01-02,5946.38750000
S,SUL,2001-01-02,6779.68750000
SE,SUDESTE,2001-01-02,24596.19541667
N,NORTE,2001-01-03,2540.34583333
NE,NORDESTE,2001-01-03,6188.10416667
S,SUL,2001-01-03,7371.00416667
SE,SUDESTE,2001-01-03,26063.22166667
N,NORTE,2001-01-04,2534.11666667
NE,NORDESTE,2001-01-04,6232.39583333
S,SUL,2001-01-04,7543.17083333
SE,SUDESTE,2001-01-04,26320.12166667
N,NORTE,2001-01-05,2575.57500000
NE,NORDESTE,2001-01-05,6202.51666667
S,SUL,2001-01-05,7732.31666667
SE,SUDESTE,2001-01-05,26860.91208333
N,NORTE,2001-01-06,2495.19500000
NE,NORDESTE,2001-01-06,5922.58333333
S,SUL,2001-01-06,6834.92083333
SE,SUDESTE,2001-01-06,25047.63041667
N,NORTE,2001-01-07,2410.72916667
NE,NORDESTE,2001-01-07,5402.67083333
S,SUL,2001-01-07,5801.07083333
SE,SUDESTE,2001-01-07,22943.49166667
N,NORTE,2001-01-08,2578.53333333
NE,NORDESTE,2001-01-08,6128.23333333
S,SUL,2001-01-08,7442.92500000
SE,SUDESTE,2001-01-08,27456.62791667
N,NORTE,2001-01-09,2559.38625000
NE,NORDESTE,2001-01-09,6332.05000000
S,SUL,2001-01-09,7794.75833333
SE,SUDESTE,2001-01-09,27902.75583333
N,NORTE,2001-01-10,2543.22666667
NE,NORDESTE,2001-01-10,6361.70833333
S,SUL,2001-01-10,7848.09166667
SE,SUDESTE,2001-01-10,27940.01291667
N,NORTE,2001-01-11,2536.83583333
NE,NORDESTE,2001-01-11,6329.19166667
S,SUL,2001-01-11,7488.25416667
SE,SUDESTE,2001-01-11,28169.65041667
N,NORTE,2001-01-12,2525.36083333
NE,NORDESTE,2001-01-12,6255.84166667
S,SUL,2001-01-12,7205.54583333
SE,SUDESTE,2001-01-12,28334.02250000
N,NORTE,2001-01-13,2487.13750000
NE,NORDESTE,2001-01-13,5817.14166667
S,SUL,2001-01-13,6514.95416667
SE,SUDESTE,2001-01-13,25423.83041667
N,NORTE,2001-01-14,2405.55833333
NE,NORDESTE,2001-01-14,5352.11666667
S,SUL,2001-01-14,5603.39166667
SE,SUDESTE,2001-01-14,22552.86416667
N,NORTE,2001-01-15,2569.48750000
NE,NORDESTE,2001-01-15,6116.16666667
S,SUL,2001-01-15,7376.37083333
SE,SUDESTE,2001-01-15,27258.59041667
N,NORTE,2001-01-16,2576.73333333
NE,NORDESTE,2001-01-16,6253.20416667
S,SUL,2001-01-16,7740.48333333
SE,SUDESTE,2001-01-16,28137.02458333
N,NORTE,2001-01-17,2570.33333333
NE,NORDESTE,2001-01-17,6263.10000000
S,SUL,2001-01-17,7885.20833333
SE,SUDESTE,2001-01-17,28435.99083333
N,NORTE,2001-01-18,2596.70833333
NE,NORDESTE,2001-01-18,6355.23750000
S,SUL,2001-01-18,7957.59166667
SE,SUDESTE,2001-01-18,28744.32000000
N,NORTE,2001-01-19,2599.90416667
NE,NORDESTE,2001-01-19,6411.16250000
S,SUL,2001-01-19,7964.36666667
SE,SUDESTE,2001-01-19,28718.10291667
N,NORTE,2001-01-20,2501.74166667
NE,NORDESTE,2001-01-20,6085.10833333
S,SUL,2001-01-20,6749.15416667
SE,SUDESTE,2001-01-20,25861.29625000
N,NORTE,2001-01-21,2391.79166667
NE,NORDESTE,2001-01-21,5491.42083333
S,SUL,2001-01-21,5636.84166667
SE,SUDESTE,2001-01-21,23108.01708333
N,NORTE,2001-01-22,2533.45833333
NE,NORDESTE,2001-01-22,6262.66250000
S,SUL,2001-01-22,7490.05000000
SE,SUDESTE,2001-01-22,27496.48166667
N,NORTE,2001-01-23,2569.76666667
NE,NORDESTE,2001-01-23,6386.35000000
S,SUL,2001-01-23,7826.77916667
SE,SUDESTE,2001-01-23,28275.84875000
N,NORTE,2001-01-24,2552.78750000
NE,NORDESTE,2001-01-24,6351.42083333
S,SUL,2001-01-24,7925.72916667
SE,SUDESTE,2001-01-24,28354.11875000
N,NORTE,2001-01-25,2557.34166667
NE,NORDESTE,2001-01-25,6374.57916667
S,SUL,2001-01-25,7973.52500000
SE,SUDESTE,2001-01-25,27640.47333333
N,NORTE,2001-01-26,2546.37916667
NE,NORDESTE,2001-01-26,6415.06250000
S,SUL,2001-01-26,8213.18333333
SE,SUDESTE,2001-01-26,28133.48000000
N,NORTE,2001-01-27,2465.69583333
NE,NORDESTE,2001-01-27,6074.76666667
S,SUL,2001-01-27,7134.56250000
SE,SUDESTE,2001-01-27,26155.15875000
N,NORTE,2001-01-28,2381.36666667
NE,NORDESTE,2001-01-28,5586.77916667
S,SUL,2001-01-28,5945.61250000
SE,SUDESTE,2001-01-28,23487.74500000
N,NORTE,2001-01-29,2552.86500000
NE,NORDESTE,2001-01-29,6259.47500000
S,SUL,2001-01-29,7546.88750000
SE,SUDESTE,2001-01-29,28165.95000000
N,NORTE,2001-01-30,2572.73333333
NE,NORDESTE,2001-01-30,6494.19166667
S,SUL,2001-01-30,7708.02083333
SE,SUDESTE,2001-01-30,29116.17458333
N,NORTE,2001-01-31,2532.51666667
NE,NORDESTE,2001-01-31,6363.53333333
S,SUL,2001-01-31,7801.87083333
SE,SUDESTE,2001-01-31,28975.91750000
N,NORTE,2001-02-01,2494.87500000
NE,NORDESTE,2001-02-01,6425.65416667
S,SUL,2001-02-01,7762.62083333
SE,SUDESTE,2001-02-01,28638.04458333
N,NORTE,2001-02-02,2543.75000000
NE,NORDESTE,2001-02-02,6430.51250000
S,SUL,2001-02-02,7731.45833333
SE,SUDESTE,2001-02-02,28834.15875000
N,NORTE,2001-02-03,2434.60833333
NE,NORDESTE,2001-02-03,6097.98750000
S,SUL,2001-02-03,6810.85833333
SE,SUDESTE,2001-02-03,26349.54375000
N,NORTE,2001-02-04,2382.05416667
NE,NORDESTE,2001-02-04,5580.47500000
S,SUL,2001-02-04,5661.60416667
SE,SUDESTE,2001-02-04,23549.23000000
N,NORTE,2001-02-05,2547.68333333
NE,NORDESTE,2001-02-05,6355.16250000
S,SUL,2001-02-05,7587.01250000
SE,SUDESTE,2001-02-05,28560.14625000
N,NORTE,2001-02-06,2587.03333333
NE,NORDESTE,2001-02-06,6464.22916667
S,SUL,2001-02-06,7926.16666667
SE,SUDESTE,2001-02-06,28903.58625000
N,NORTE,2001-02-07,2581.04583333
NE,NORDESTE,2001-02-07,6451.10000000
S,SUL,2001-02-07,8058.24583333
SE,SUDESTE,2001-02-07,28871.29125000
N,NORTE,2001-02-08,2585.29166667
NE,NORDESTE,2001-02-08,6519.13750000
S,SUL,2001-02-08,8328.28750000
SE,SUDESTE,2001-02-08,28993.26166667
N,NORTE,2001-02-09,2588.67083333
NE,NORDESTE,2001-02-09,6482.86250000
S,SUL,2001-02-09,8282.85000000
SE,SUDESTE,2001-02-09,29063.99291667
N,NORTE,2001-02-10,2462.24166667
NE,NORDESTE,2001-02-10,6119.91250000
S,SUL,2001-02-10,7221.50416667
SE,SUDESTE,2001-02-10,26252.18708333
N,NORTE,2001-02-11,2372.07916667
NE,NORDESTE,2001-02-11,5680.99166667
S,SUL,2001-02-11,6157.77500000
SE,SUDESTE,2001-02-11,23469.54458333
N,NORTE,2001-02-12,2561.15000000
NE,NORDESTE,2001-02-12,6422.00416667
S,SUL,2001-02-12,7894.05000000
SE,SUDESTE,2001-02-12,28755.77750000
N,NORTE,2001-02-13,2581.79166667
NE,NORDESTE,2001-02-13,6491.86666667
S,SUL,2001-02-13,7936.19166667
SE,SUDESTE,2001-02-13,29218.97333333
N,NORTE,2001-02-14,2566.35000000
NE,NORDESTE,2001-02-14,6500.12083333
S,SUL,2001-02-14,7986.31666667
SE,SUDESTE,2001-02-14,29164.73416667
N,NORTE,2001-02-15,2563.49583333
NE,NORDESTE,2001-02-15,6565.33333333
S,SUL,2001-02-15,7912.71250000
SE,SUDESTE,2001-02-15,29253.70000000
N,NORTE,2001-02-16,2572.83333333
NE,NORDESTE,2001-02-16,6563.22083333
S,SUL,2001-02-16,7884.13750000
SE,SUDESTE,2001-02-16,29522.08250000
N,NORTE,2001-02-17,2510.52500000
NE,NORDESTE,2001-02-17,6241.70416667
S,SUL,2001-02-17,6949.17083333
SE,SUDESTE,2001-02-17,26677.85583333
N,NORTE,2001-02-18,2364.63750000
NE,NORDESTE,2001-02-18,5707.00000000
S,SUL,2001-02-18,5894.19166667
SE,SUDESTE,2001-02-18,23819.70833333
N,NORTE,2001-02-19,2552.29583333
NE,NORDESTE,2001-02-19,6467.06250000
S,SUL,2001-02-19,7703.22500000
SE,SUDESTE,2001-02-19,28854.86958333
N,NORTE,2001-02-20,2562.41250000
NE,NORDESTE,2001-02-20,6587.80833333
S,SUL,2001-02-20,7981.53333333
SE,SUDESTE,2001-02-20,29633.17875000
N,NORTE,2001-02-21,2564.00833333
NE,NORDESTE,2001-02-21,6609.05833333
S,SUL,2001-02-21,8078.65416667
SE,SUDESTE,2001-02-21,29536.35125000
N,NORTE,2001-02-22,2565.07916667
NE,NORDESTE,2001-02-22,6633.59583333
S,SUL,2001-02-22,8148.68333333
SE,SUDESTE,2001-02-22,29605.54041667
N,NORTE,2001-02-23,2557.88333333
NE,NORDESTE,2001-02-23,6561.91250000
S,SUL,2001-02-23,8125.86250000
SE,SUDESTE,2001-02-23,29443.52833333
N,NORTE,2001-02-24,2473.70000000
NE,NORDESTE,2001-02-24,6138.02083333
S,SUL,2001-02-24,7096.52916667
SE,SUDESTE,2001-02-24,26341.09166667
N,NORTE,2001-02-25,2363.44166667
NE,NORDESTE,2001-02-25,5569.21250000
S,SUL,2001-02-25,5995.34166667
SE,SUDESTE,2001-02-25,23434.31291667
N,NORTE,2001-02-26,2422.77916667
NE,NORDESTE,2001-02-26,5591.34583333
S,SUL,2001-02-26,7158.53333333
SE,SUDESTE,2001-02-26,24897.85916667
N,NORTE,2001-02-27,2370.16250000
NE,NORDESTE,2001-02-27,5567.65833333
S,SUL,2001-02-27,7006.50833333
SE,SUDESTE,2001-02-27,24485.52416667
N,NORTE,2001-02-28,2499.11666667
NE,NORDESTE,2001-02-28,5999.44583333
S,SUL,2001-02-28,7888.26250000
SE,SUDESTE,2001-02-28,26971.10541667
N,NORTE,2001-03-01,2537.65833333
NE,NORDESTE,2001-03-01,6432.41250000
S,SUL,2001-03-01,8205.55833333
SE,SUDESTE,2001-03-01,28448.43958333
N,NORTE,2001-03-02,2555.82500000
NE,NORDESTE,2001-03-02,6444.40416667
S,SUL,2001-03-02,8308.28750000
SE,SUDESTE,2001-03-02,28499.28083333
N,NORTE,2001-03-03,2475.07083333
NE,NORDESTE,2001-03-03,6174.07500000
S,SUL,2001-03-03,7281.95416667
SE,SUDESTE,2001-03-03,26070.85625000
N,NORTE,2001-03-04,2411.40416667
NE,NORDESTE,2001-03-04,5707.74166667
S,SUL,2001-03-04,6206.33333333
SE,SUDESTE,2001-03-04,23267.13000000
N,NORTE,2001-03-05,2571.70000000
NE,NORDESTE,2001-03-05,6478.94166667
S,SUL,2001-03-05,8198.82916667
SE,SUDESTE,2001-03-05,28200.94000000
N,NORTE,2001-03-06,2608.28750000
NE,NORDESTE,2001-03-06,6620.07916667
S,SUL,2001-03-06,8425.67916667
SE,SUDESTE,2001-03-06,28521.79625000
N,NORTE,2001-03-07,2442.04166667
NE,NORDESTE,2001-03-07,6685.13750000
S,SUL,2001-03-07,8282.85833333
SE,SUDESTE,2001-03-07,29218.92500000
N,NORTE,2001-03-08,2568.76666667
NE,NORDESTE,2001-03-08,6589.44166667
S,SUL,2001-03-08,8285.86666667
SE,SUDESTE,2001-03-08,29354.20791667
N,NORTE,2001-03-09,2612.49166667
NE,NORDESTE,2001-03-09,6522.22500000
